Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
1095,4795.696681026685,251021.00170206136,0.0,0.0,109068,38,3045.4340277275105,0.06284987926483154
1096,9671.340010889428,250800.99289468568,0.0,0.0,109168,82,5801.260410568896,0.06281237304210663
1097,14537.372485320982,250585.81655551502,0.0,0.0,109268,128,8605.644821109854,0.06277487426996231
1098,19390.2712335094,250375.44754248316,0.0,0.0,109368,171,11691.16362440674,0.062737375497818
1099,24243.37401162947,250169.87293018238,0.0,0.0,109468,216,14794.261218186712,0.06269987672567368
1100,29084.177814535717,249969.06848411914,0.0,0.0,109568,252,17892.29518199429,0.06266237795352936
1101,33943.376779453436,249773.0379108844,0.0,0.0,109668,295,20931.89173671053,0.06262487173080444
1102,38818.90338206825,249581.78302917196,0.0,0.0,109768,342,23549.997248813488,0.06258738040924072
1103,43666.15340962107,249395.2652487195,0.0,0.0,109868,379,26632.628503814984,0.06254987418651581
1104,48515.86630047458,249213.4739374541,0.0,0.0,109968,418,29641.220724724,0.06251237541437149
1105,53364.748557016486,249036.39552390942,0.0,0.0,110068,457,32660.36748398591,0.06247487664222717
1106,58195.65766040476,248864.0010000941,0.0,0.0,110168,489,35882.763511713405,0.06243737414479256
1107,63059.61858593107,248696.30751416076,0.0,0.0,110268,536,38882.23185691275,0.06239987537264824
1108,67899.0173006333,248533.2802010737,0.0,0.0,110368,572,42136.450465606446,0.06236237660050392
1109,72760.6221827661,248374.92645511127,0.0,0.0,110468,612,44920.56232145913,0.062324874103069305
1110,77586.38334235839,248221.2013938037,0.0,0.0,110568,644,48235.145280295474,0.06228737533092499
1111,82447.26902120945,248072.12411649022,0.0,0.0,110668,691,51312.55972847849,0.06224987655878067
1112,87287.50509820563,247927.66354234976,0.0,0.0,110768,729,54602.66845506961,0.062212374061346054
1113,92122.14098467004,247787.80221150807,0.0,0.0,110868,766,58014.85522569571,0.062174875289201736
1114,96976.38690275644,247652.5453367917,0.0,0.0,110968,810,61111.885544617166,0.06213737651705742
1115,101825.71146788516,247521.87613081594,0.0,0.0,111068,852,64204.36622362369,0.0620998740196228
1116,106697.9498302326,247395.80278587362,0.0,0.0,111168,897,67014.47031172163,0.062062375247478485
1117,111544.99650724638,247274.29043678724,0.0,0.0,111268,937,70215.7817648759,0.06202487647533417
1118,116395.9205360676,247157.33032070077,0.0,0.0,111368,979,73312.9598366384,0.06198737397789955
1119,121222.65041827966,247044.88864221648,0.0,0.0,111468,1009,76442.12308524699,0.061949875205755234
1120,126069.3120060384,246936.9710894634,0.0,0.0,111568,1050,79590.6650490545,0.061912376433610916
1121,130917.56809629133,246833.56698697395,0.0,0.0,111668,1089,82622.97040561806,0.0618748739361763
1122,135788.38171261197,246734.68436428977,0.0,0.0,111768,1136,85477.79032184112,0.06183737516403198
1123,140646.19914484367,246640.29959096285,0.0,0.0,111868,1178,88407.45503351849,0.061799876391887665
1124,145504.52925175076,246550.40112843906,0.0,0.0,111968,1219,91235.32666849003,0.06176237389445305
1125,150334.90720370648,246464.95219955393,0.0,0.0,112068,1252,94397.46699380431,0.06172487512230873
1126,155196.6278330396,246383.96877065726,0.0,0.0,112168,1297,97383.3541884354,0.06168737635016441
1127,160056.31998111957,246307.43716712043,0.0,0.0,112268,1339,100443.54043704395,0.0616498738527298
1128,164903.61841010823,246235.33458186177,0.0,0.0,112368,1376,103453.96287386277,0.06161237508058548
1129,169752.5596724561,246167.65071026055,0.0,0.0,112468,1410,106181.66791295436,0.06157487630844116
1130,174598.4373633779,246104.3711228628,0.0,0.0,112568,1449,109185.67767860917,0.061537373811006546
1131,179452.77357214442,246045.49161972606,0.0,0.0,112668,1491,112128.99533630906,0.06149987503886223
1132,184310.98344061282,245991.00396908255,0.0,0.0,112768,1533,115104.89004798645,0.06146237626671791
1133,189173.1713039557,245940.9000602068,0.0,0.0,112868,1579,118208.03613466275,0.061424873769283295
1134,194063.00856782708,245895.19266682144,0.0,0.0,112968,1633,120860.18617375438,0.06138737499713898
1135,198928.73698118268,245853.8489558306,0.0,0.0,113068,1676,123749.74740744922,0.06134987622499466
1136,203765.67695061184,245816.83209390863,0.0,0.0,113168,1714,127146.91065108657,0.06131237372756004
1137,208593.94371744504,245784.12305315607,0.0,0.0,113268,1747,130426.46723847362,0.061274874955415726
1138,213445.17411384874,245755.7306484683,0.0,0.0,113368,1789,133554.49440185557,0.06123737618327141
1139,218309.69573368132,245731.65517924482,0.0,0.0,113468,1832,136444.98558654435,0.06119987368583679
1140,223173.17724075107,245711.8843835056,0.0,0.0,113568,1876,139376.20387776615,0.061162374913692474
1141,228027.27991669407,245696.39874036476,0.0,0.0,113668,1918,142436.33454043744,0.06112487614154816
1142,232881.72945707187,245685.18730617117,0.0,0.0,113768,1959,145403.70393961418,0.06108737364411354
1143,237731.89048187106,245678.23512363248,0.0,0.0,113868,1999,148500.54349930174,0.06104987487196922
1144,242576.3687356653,245675.52607001847,0.0,0.0,113968,2037,151585.66278058122,0.061012376099824905
1145,247437.63231054772,245677.06368453903,0.0,0.0,114068,2082,154575.60283600827,0.06097487360239029
1146,252300.92513083946,245682.8386291304,0.0,0.0,114168,2128,157533.78947737277,0.06093737483024597
1147,257141.7940950322,245692.82029765472,0.0,0.0,114268,2166,160856.4315214358,0.060899876058101654
1148,262004.5767833879,245707.0167784952,0.0,0.0,114368,2211,163814.6364689078,0.06086237356066704
1149,266846.8512259435,245725.39924323212,0.0,0.0,114468,2247,166940.9710513236,0.06082487478852272
1150,271711.08609400847,245747.97586082615,0.0,0.0,114568,2293,169937.11831129633,0.0607873760163784
1151,276573.5023521255,245774.73413034983,0.0,0.0,114668,2336,172711.09236175215,0.06074987351894379
1152,281410.65725114493,245805.64126228465,0.0,0.0,114768,2374,176095.95533053103,0.06071237474679947
1153,286275.99372357945,245840.7108918005,0.0,0.0,114868,2419,179040.5086984587,0.06067487597465515
1154,291133.935501788,245879.92580488275,0.0,0.0,114968,2460,181984.5484413853,0.060637373477220535
1155,295985.84273062873,245923.27002367665,0.0,0.0,115068,2500,185001.21695845958,0.06059987470507622
1156,300853.3248877056,245970.74630272936,0.0,0.0,115168,2548,188001.68195990918,0.0605623759329319
1157,305701.8500296412,246022.3275667423,0.0,0.0,115268,2586,190944.41539672794,0.060524873435497284
1158,310568.2670218633,246078.01862753183,0.0,0.0,115368,2627,193616.73800045048,0.060487374663352966
1159,315426.3839435587,246137.80170108014,0.0,0.0,115468,2669,196504.80146994017,0.06044987589120865
1160,320279.98995694565,246201.66232834614,0.0,0.0,115568,2712,199650.3345956801,0.06041237339377403
1161,325124.81576320686,246269.58242596654,0.0,0.0,115668,2750,202631.1924465614,0.060374874621629715
1162,329990.8342587385,246341.56974482536,0.0,0.0,115768,2795,205528.03512556804,0.0603373758494854
1163,334832.4338385243,246417.59282394362,0.0,0.0,115868,2832,208626.52106806883,0.06029987335205078
1164,339678.47479371587,246497.64508314512,0.0,0.0,115968,2872,211772.930655456,0.060262374579906464
1165,344540.82584302506,246581.73014383117,0.0,0.0,116068,2915,214667.98299568403,0.060224875807762146
1166,349404.70425743994,246669.83894769882,0.0,0.0,116168,2958,217433.96333094078,0.06018737331032753
1167,354252.6277942208,246761.9474997935,0.0,0.0,116268,2997,220503.50831605503,0.06014987453818321
1168,359112.22743007157,246858.05552368597,0.0,0.0,116368,3043,223617.44033881128,0.060112375766038895
1169,363984.85437950166,246958.16389877634,0.0,0.0,116468,3093,226582.01122733473,0.06007487326860428
1170,368843.61156798375,247062.25053214034,0.0,0.0,116568,3137,229649.75612082944,0.06003737449645996
1171,373696.95573359483,247170.3006219027,0.0,0.0,116668,3177,232576.34808463708,0.05999987572431564
1172,378576.84921166603,247282.32666503123,0.0,0.0,116768,3227,235346.47244617174,0.05996237322688103
1173,383429.0275490429,247398.29489406358,0.0,0.0,116868,3269,238332.04130202424,0.05992487445473671
1174,388279.99501168256,247518.19421331264,0.0,0.0,116968,3307,241315.40755063272,0.05988737568259239
1175,393132.0027886337,247642.0154791079,0.0,0.0,117068,3345,244174.72015435522,0.059849876910448074
1176,397998.97831223765,247769.76141184635,0.0,0.0,117168,3393,247211.01915580488,0.05981237441301346
1177,402850.6055516925,247901.40898751686,0.0,0.0,117268,3433,250251.2426039877,0.05977487564086914
1178,407721.21227034286,248036.9643762216,0.0,0.0,117368,3478,252942.18525671618,0.05973737686872482
1179,412555.4885990857,248176.38685437653,0.0,0.0,117468,3511,256064.03850035352,0.05969987437129021
1180,417411.9428539846,248319.6853776615,0.0,0.0,117568,3552,258974.62629228627,0.05966237559914589
1181,422269.9185809207,248466.85139560004,0.0,0.0,117668,3595,261908.5291268323,0.05962487682700157
1182,427159.55152076966,248617.90186062548,0.0,0.0,117768,3650,264615.26688609435,0.059587374329566956
1183,432015.55483315425,248772.79852698743,0.0,0.0,117868,3691,267529.2067533113,0.05954987555742264
1184,436873.7569723553,248931.5335130173,0.0,0.0,117968,3735,270531.00715248816,0.05951237678527832
1185,441765.0093962662,249094.1249766625,0.0,0.0,118068,3788,273268.50043873856,0.059474874287843704
1186,446621.0757585605,249260.53352829008,0.0,0.0,118168,3829,276225.82998848334,0.05943737551569939
1187,451515.8520372787,249430.7821128936,0.0,0.0,118268,3885,278909.44942033093,0.05939987674355507
1188,456369.316316928,249604.82629641256,0.0,0.0,118368,3926,281914.1688898207,0.05936237424612045
1189,461233.3959134383,249782.6654305445,0.0,0.0,118468,3970,284748.20745590096,0.059324875473976135
1190,466066.0871608376,249964.26360160267,0.0,0.0,118568,4003,287886.0121121792,0.05928737670183182
1191,470927.6460052127,250149.63556670636,0.0,0.0,118668,4047,290852.2487847929,0.0592498742043972
1192,475777.10124577436,250338.76169049434,0.0,0.0,118768,4089,293970.5995717546,0.059212375432252884
1193,480626.1377271436,250531.63218968752,0.0,0.0,118868,4129,297038.8612507612,0.059174876660108566
1194,485471.06172567274,250728.23422277204,0.0,0.0,118968,4168,300105.72725221067,0.05913737416267395
1195,490341.91960137896,250928.58011355682,0.0,0.0,119068,4216,303040.8982160181,0.05909987539052963
1196,494075.70918665203,251131.71054720186,0.0,0.0,119145,4245,305283.70582257456,0.059071000665426254
