Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
1934,4810.036609970585,243633.33410819728,0.0,0.0,192497,45,3123.2559098301126,0.03156399726867676
1935,9656.702020675793,243512.47840980501,0.0,0.0,192597,85,6167.185351620198,0.03152649849653244
1936,14502.066820394528,243394.24897687294,0.0,0.0,192697,125,9347.768745825751,0.03148899972438812
1937,19377.748161929558,243278.65738718514,0.0,0.0,192797,171,12043.125667020036,0.031451500952243805
1938,24248.485905491267,243165.69700993827,0.0,0.0,192897,217,14875.566614492194,0.03141400218009949
1939,29107.660937529403,243055.3578160865,0.0,0.0,192997,261,17829.65942276033,0.03137649595737457
1940,33953.844940778785,242947.62906138517,0.0,0.0,193097,300,20957.947805601732,0.031338997185230255
1941,38818.92531919496,242842.51644359826,0.0,0.0,193197,342,23691.787221113933,0.03130149841308594
1942,43685.42637318494,242740.0166545759,0.0,0.0,193297,387,26590.76454003537,0.03126399964094162
1943,48519.652114760494,242640.109059648,0.0,0.0,193397,419,29613.08510114456,0.031226500868797302
1944,53387.725843330656,242542.80706313576,0.0,0.0,193497,466,32507.30368356036,0.031189002096652985
1945,58251.42215085995,242448.10439874095,0.0,0.0,193597,509,35392.459765265354,0.03115149587392807
1946,63109.20542172297,242355.9940243306,0.0,0.0,193697,553,38381.62164881761,0.031113997101783752
1947,67990.54268623907,242266.48403904412,0.0,0.0,193797,606,41222.412295153335,0.031076498329639435
1948,72865.7112280325,242179.56727515953,0.0,0.0,193897,653,43960.4519904953,0.031038999557495117
1949,77688.18094214269,242095.2127180657,0.0,0.0,193997,685,47338.11822276849,0.0310015007853508
1950,82535.76691774312,242013.42930145864,0.0,0.0,194097,725,50448.12193941709,0.030964002013206482
1951,87384.26313722128,241934.213540104,0.0,0.0,194197,764,53535.58196359503,0.030926495790481567
1952,92239.02010384345,241857.56469553857,0.0,0.0,194297,810,56773.961259788164,0.03088899701833725
1953,97084.62455207943,241783.47414275282,0.0,0.0,194397,850,59961.12212203374,0.030851498246192932
1954,101937.05086364456,241711.94144542332,0.0,0.0,194497,894,63109.18754251716,0.030813999474048615
1955,106793.21943770358,241642.96459368116,0.0,0.0,194597,936,66094.54313984666,0.030776500701904297
1956,111637.86638935484,241576.5337821306,0.0,0.0,194697,972,68999.22082879572,0.03073900192975998
1957,116486.45476670132,241512.64712277649,0.0,0.0,194797,1010,72099.75603479096,0.030701495707035065
1958,121323.34915209451,241451.29475015236,0.0,0.0,194897,1045,75322.04731607036,0.030663996934890747
1959,126155.00568824756,241392.4701128759,0.0,0.0,194997,1075,78374.0133437979,0.03062649816274643
1960,131010.99978541846,241336.18175472828,0.0,0.0,195097,1118,81363.02800646907,0.030588999390602112
1961,135870.9567984876,241282.4278174417,0.0,0.0,195197,1162,84424.9845249649,0.030551500618457794
1962,140716.94160453958,241231.19730994655,0.0,0.0,195297,1201,87523.22129559098,0.030514001846313477
1963,145585.72318296877,241182.4979850347,0.0,0.0,195397,1250,90489.06174235226,0.030476495623588562
