Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
2474,4814.468542879591,239773.3155854697,0.0,0.0,246258,44,2723.7828558526567,0.01140362024307251
2475,9682.329275756407,239680.38707726708,0.0,0.0,246358,93,5647.48797022844,0.011366121470928192
2476,14523.973557514395,239589.4882425801,0.0,0.0,246458,129,8652.226277785721,0.011328622698783875
2477,19409.760868251728,239500.63443815135,0.0,0.0,246558,181,11409.954838894886,0.011291123926639557
2478,24267.401017840024,239413.81183491604,0.0,0.0,246658,221,14408.876576850149,0.01125362515449524
2479,29118.369364242768,239329.01528553272,0.0,0.0,246758,261,17472.958681283446,0.011216126382350922
2480,33987.47504108888,239246.24965060953,0.0,0.0,246858,308,20370.35705276065,0.011178620159626007
2481,38845.519227942095,239165.50801869066,0.0,0.0,246958,351,23418.26130136921,0.01114112138748169
2482,43668.617108723985,239086.77387011633,0.0,0.0,247058,382,26730.11824387015,0.011103622615337372
2483,48529.00819209028,239010.05979375643,0.0,0.0,247158,424,29560.584487507505,0.011066123843193054
2484,53367.62330368367,238935.35458792545,0.0,0.0,247258,463,32809.05289804845,0.011028625071048737
2485,58218.606319610946,238862.66080342486,0.0,0.0,247358,506,36034.071426486815,0.010991126298904419
2486,63084.00636366975,238791.98181088784,0.0,0.0,247458,551,38887.47632637444,0.010953620076179504
2487,67955.70027319984,238723.31771059128,0.0,0.0,247558,599,41793.891365466116,0.010916121304035187
2488,72813.34040523348,238656.66042762407,0.0,0.0,247658,642,44835.421317909466,0.01087862253189087
2489,77667.57360458784,238592.00617588792,0.0,0.0,247758,684,47811.66871708625,0.010841123759746552
2490,82523.49842992694,238529.35322215615,0.0,0.0,247858,728,50819.9920622856,0.010803624987602234
2491,87352.92809644442,238468.68852507518,0.0,0.0,247958,761,54027.77417169011,0.010766126215457916
2492,92202.86219294503,238410.01791683928,0.0,0.0,248058,803,57045.04118947517,0.010728619992733002
2493,97068.11210617189,238353.34513985022,0.0,0.0,248158,847,59964.93895370829,0.010691121220588684
2494,101937.27858514938,238298.669361672,0.0,0.0,248258,888,62647.145434562146,0.010653622448444366
2495,106782.86327761889,238245.9787342345,0.0,0.0,248358,927,65718.77140334094,0.010616123676300049
2496,111661.31837567377,238195.2840364537,0.0,0.0,248458,974,68595.16901203462,0.010578624904155731
2497,116521.09410911617,238146.57539356846,0.0,0.0,248558,1012,71132.15805112633,0.010541126132011414
2498,121393.93841418227,238099.85565087965,0.0,0.0,248658,1062,74140.75823084376,0.010503619909286499
2499,126251.44876825679,238055.11628812656,0.0,0.0,248758,1105,77128.97105402559,0.010466121137142181
2500,131094.7646655765,238012.3492542911,0.0,0.0,248858,1142,80313.17992621363,0.010428622364997864
2501,135946.46144414463,237971.55553414315,0.0,0.0,248958,1183,83460.15822382843,0.010391123592853546
2502,140776.2203576464,237932.72399791604,0.0,0.0,249058,1217,86738.80213365851,0.010353624820709229
2503,145650.3934201042,237895.8700320303,0.0,0.0,249158,1264,89401.68461948354,0.010316126048564911
2504,150517.79494212332,237860.98856492856,0.0,0.0,249258,1312,92314.05073385932,0.010278619825839996
2505,155393.67924993427,237828.0806202698,0.0,0.0,249358,1361,95147.36325093356,0.010241121053695679
2506,160257.96421850345,237797.13920965878,0.0,0.0,249458,1406,98088.34519343449,0.010203622281551361
2507,165106.34340421573,237768.15563876345,0.0,0.0,249558,1448,101206.71325383286,0.010166123509407043
2508,169949.12193951575,237741.12533437953,0.0,0.0,249658,1485,104364.118238947,0.010128624737262726
2509,174803.31666835546,237716.05051020978,0.0,0.0,249758,1526,107384.71869210128,0.010091125965118408
2510,179660.8214519709,237692.93014817944,0.0,0.0,249858,1571,110428.06195207399,0.010053619742393494
2511,184488.31713123486,237671.74996783826,0.0,0.0,249958,1604,113708.15136758618,0.010016120970249176
2512,189359.4183078792,237652.5250049812,0.0,0.0,250058,1650,116531.7793512787,0.009999999776482582
2513,194200.04239793267,237635.24080346682,0.0,0.0,250158,1685,119590.32231508626,0.009999999776482582
2514,199063.17317325014,237619.90399725205,0.0,0.0,250258,1730,122525.25755233067,0.009999999776482582
2515,203916.37902976442,237606.508319602,0.0,0.0,250358,1770,125524.16590747253,0.009999999776482582
2516,208761.19678016656,237595.0481243142,0.0,0.0,250458,1808,128612.56200551285,0.009999999776482582
2517,213623.69761844573,237585.52812808467,0.0,0.0,250558,1850,131598.80814616644,0.009999999776482582
2518,218485.92877684976,237577.94591317748,0.0,0.0,250658,1896,134528.96790542823,0.009999999776482582
2519,223330.9235713038,237572.2923328831,0.0,0.0,250758,1935,137586.39345517312,0.009999999776482582
2520,228185.23841554835,237568.56878908406,0.0,0.0,250858,1978,140545.3509459695,0.009999999776482582
2521,233011.4945406128,237566.76186035748,0.0,0.0,250958,2011,143867.61839770206,0.009999999776482582
2522,237862.20815769094,237566.87896154544,0.0,0.0,251058,2053,147006.22452841327,0.009999999776482582
2523,242710.68447270698,237568.91691935496,0.0,0.0,251158,2089,149927.71831537475,0.009999999776482582
2524,247577.31784471308,237572.8806424937,0.0,0.0,251258,2134,152810.9920270522,0.009999999776482582
2525,252425.8829255574,237578.7606909035,0.0,0.0,251358,2174,155867.5434098936,0.009999999776482582
2526,257284.030829921,237586.55858173806,0.0,0.0,251458,2217,158943.36286801912,0.009999999776482582
2527,262115.52464626668,237596.2614955294,0.0,0.0,251558,2252,162177.27577287797,0.009999999776482582
2528,266957.6858646598,237607.87139049545,0.0,0.0,251658,2289,165187.95749946922,0.009999999776482582
2529,271813.7054319012,237621.39148300193,0.0,0.0,251758,2331,168144.68119481133,0.009999999776482582
2530,276653.2550543402,237636.81300159986,0.0,0.0,251858,2367,171356.5466856076,0.009999999776482582
2531,281509.5136419584,237654.14029253207,0.0,0.0,251958,2411,174276.328719728,0.009999999776482582
2532,286375.4580105275,237673.37492250366,0.0,0.0,252058,2459,177285.17930214386,0.009999999776482582
2533,291248.08730884886,237694.5172715117,0.0,0.0,252158,2511,180404.97649180383,0.009999999776482582
2534,296107.45969236305,237717.55985234832,0.0,0.0,252258,2553,183374.45110546853,0.009999999776482582
2535,300986.8538907063,237742.5083121426,0.0,0.0,252358,2601,186144.344903794,0.009999999776482582
2536,305840.6498313337,237769.35030722307,0.0,0.0,252458,2643,189186.78157782936,0.009999999776482582
2537,310699.4857164465,237798.08558516216,0.0,0.0,252558,2686,192168.2322028585,0.009999999776482582
2538,315542.0144897765,237828.7054862667,0.0,0.0,252658,2724,195243.8619031717,0.009999999776482582
2539,320408.74367244536,237861.21731232427,0.0,0.0,252758,2768,198111.12205518954,0.009999999776482582
2540,325245.1182942145,237895.60688374573,0.0,0.0,252858,2805,201333.2805935704,0.009999999776482582
