Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
2014,4801.59011279764,241766.86086170183,0.0,0.0,200451,38,2909.0698231818433,0.028581246733665466
2015,9661.948969726524,241651.7294569935,0.0,0.0,200551,81,5855.1858246314705,0.02854374796152115
2016,14512.763800287908,241539.11717853206,0.0,0.0,200651,120,8897.884218837022,0.02850624918937683
2017,19374.929025542286,241429.02590590916,0.0,0.0,200751,164,11769.562801252836,0.028468750417232513
2018,24222.096065719412,241321.44446468077,0.0,0.0,200851,203,14738.52545895276,0.028431251645088196
2019,29073.818087794076,241216.37138231596,0.0,0.0,200951,244,17819.340809123336,0.02839374542236328
2020,33937.43495914431,241113.8088209982,0.0,0.0,201051,289,20804.47942420995,0.028356246650218964
2021,38790.346273264695,241013.74776138013,0.0,0.0,201151,331,24023.548076938627,0.028318747878074646
2022,43642.382603212005,240916.18406135138,0.0,0.0,201251,373,27019.635787194293,0.02828124910593033
2023,48502.1972954265,240821.1178623564,0.0,0.0,201351,415,30045.857826285977,0.02824375033378601
2024,53355.169566928605,240728.54208542034,0.0,0.0,201451,456,33035.348333417685,0.028206251561641693
2025,58223.18770787638,240638.46046924192,0.0,0.0,201551,502,35891.98614665706,0.02816874533891678
2026,63080.58024294658,240550.86408037844,0.0,0.0,201651,543,38851.7855834759,0.02813124656677246
2027,67966.13477195858,240465.76312904293,0.0,0.0,201751,594,41435.56291233985,0.028093747794628143
2028,72840.40669659045,240383.14836490666,0.0,0.0,201851,644,44284.19113467051,0.028056249022483826
2029,77709.73507466356,240303.01367855677,0.0,0.0,201951,690,47038.08428668831,0.028018750250339508
2030,82549.11238385264,240225.34065970167,0.0,0.0,202051,727,50220.3182881379,0.02798125147819519
2031,87410.95222875898,240150.13672838727,0.0,0.0,202151,770,53049.80182154749,0.027943745255470276
2032,92262.44153117148,240077.39314983474,0.0,0.0,202251,813,56208.595860639165,0.027906246483325958
2033,97132.48340927591,240007.11541643232,0.0,0.0,202351,859,59020.22127615133,0.02786874771118164
2034,101988.9770761426,239939.29323542974,0.0,0.0,202451,898,61887.37634791385,0.027831248939037323
2035,106835.6786230327,239873.9181791368,0.0,0.0,202551,934,64894.59306456244,0.027793750166893005
2036,111696.23724022183,239810.9934462262,0.0,0.0,202651,976,67757.1117222624,0.027756251394748688
2037,116554.85590520392,239750.51447785474,0.0,0.0,202751,1021,70834.32669104128,0.02771875262260437
2038,121395.38955130878,239692.46880599277,0.0,0.0,202851,1060,74062.85902487636,0.027681246399879456
2039,126236.86912583279,239636.85331595349,0.0,0.0,202951,1094,76951.39244535983,0.027643747627735138
2040,131090.1505530181,239583.67021807845,0.0,0.0,203051,1137,80109.41130618374,0.02760624885559082
2041,135952.78964534713,239532.92052142185,0.0,0.0,203151,1181,82941.43163007648,0.027568750083446503
2042,140797.07834160098,239484.5916706241,0.0,0.0,203251,1220,86181.0420782595,0.027531251311302185
2043,145644.79256864145,239438.68178848026,0.0,0.0,203351,1261,89395.30862303327,0.027493752539157867
2044,150533.56687670082,239395.20740466035,0.0,0.0,203451,1311,92062.42224309113,0.027456246316432953
2045,155397.84030085156,239354.1529730358,0.0,0.0,203551,1353,94882.83122820534,0.027418747544288635
2046,160247.19961184484,239315.50766118374,0.0,0.0,203651,1395,98017.01736388777,0.027381248772144318
2047,165094.87410381378,239279.26711745455,0.0,0.0,203751,1436,101155.3614718706,0.02734375
2048,169937.8202905143,239245.42551334182,0.0,0.0,203851,1472,104306.75510187095,0.027306251227855682
2049,174800.4556708069,239213.98894268693,0.0,0.0,203951,1513,107094.12876454205,0.027268752455711365
2050,179623.21936358037,239184.93444752402,0.0,0.0,204051,1544,110408.00431428704,0.02723124623298645
2051,184466.5910660868,239158.26858817638,0.0,0.0,204151,1582,113498.41306360644,0.027193747460842133
2052,189319.48308790615,239133.99251145922,0.0,0.0,204251,1624,116698.05060695855,0.027156248688697815
2053,194178.9485008129,239112.10592722814,0.0,0.0,204351,1668,119714.58129093639,0.027118749916553497
2054,199042.09784441305,239092.6071398399,0.0,0.0,204451,1714,122672.57158215829,0.02708125114440918
2055,203890.92371652162,239075.48569848615,0.0,0.0,204551,1751,125617.05385349528,0.027043752372264862
2056,208724.10904481116,239060.73053239298,0.0,0.0,204651,1784,128714.51977468957,0.027006246149539948
2057,213567.16160266905,239048.3429867517,0.0,0.0,204751,1822,131787.58898565607,0.02696874737739563
2058,218391.9742377725,239038.31075326508,0.0,0.0,204851,1852,135146.83028824205,0.026931248605251312
2059,223272.79872086315,239030.6575920843,0.0,0.0,204951,1902,137944.02125844252,0.026893749833106995
2060,228122.796270825,239025.3650829522,0.0,0.0,205051,1943,141050.95815193717,0.026856251060962677
2061,232980.2428635785,239022.43340389334,0.0,0.0,205151,1987,144113.33063136935,0.02681875228881836
2062,237818.01050665535,239021.84958280888,0.0,0.0,205251,2025,147352.0686754322,0.026781246066093445
2063,242663.22043388206,239023.6138128724,0.0,0.0,205351,2065,150519.66126281922,0.026743747293949127
2064,247516.8285300852,239027.72674978146,0.0,0.0,205451,2106,153508.21139850165,0.02670624852180481
2065,252409.68085389724,239034.20397829264,0.0,0.0,205551,2156,156026.05015776338,0.026668749749660492
2066,257262.35714247933,239043.02263004117,0.0,0.0,205651,2198,159148.82463222428,0.026631250977516174
2067,262129.77942371115,239054.18643893558,0.0,0.0,205751,2240,161919.27362230976,0.026593752205371857
2068,266995.0359869183,239067.6909578085,0.0,0.0,205851,2284,164737.4218169409,0.026556245982646942
2069,271856.2189478021,239083.53082640268,0.0,0.0,205951,2329,167639.9115122829,0.026518747210502625
2070,276723.23198115197,239101.70547688784,0.0,0.0,206051,2376,170544.41755137462,0.026481248438358307
2071,281587.32962689706,239122.21012174786,0.0,0.0,206151,2420,173419.20689160266,0.02644374966621399
2072,286459.9220700239,239145.04548689417,0.0,0.0,206251,2466,176299.69587174567,0.02640625089406967
2073,291328.79568059446,239170.2064079133,0.0,0.0,206351,2511,179019.10017433175,0.026368752121925354
2074,296200.0131391042,239197.69065212112,0.0,0.0,206451,2556,181815.510406605,0.02633124589920044
2075,301049.7085449139,239227.4844950367,0.0,0.0,206551,2600,185124.4693491058,0.026293747127056122
2076,305894.06345605006,239259.58202944256,0.0,0.0,206651,2640,188349.7889428857,0.026256248354911804
2077,310747.79285297723,239293.98444081098,0.0,0.0,206751,2684,191527.82582501613,0.026218749582767487
2078,315587.6235079965,239330.68171789957,0.0,0.0,206851,2719,194625.4875643931,0.02618125081062317
2079,320434.95150522195,239369.67415529737,0.0,0.0,206951,2760,197824.4427327464,0.02614375203847885
2080,325303.9957968989,239410.96887977672,0.0,0.0,207051,2807,200670.53103533242,0.026106245815753937
2081,330131.4398456693,239454.54259301684,0.0,0.0,207151,2838,203789.21324132776,0.02606874704360962
2082,334977.42118857993,239500.40091207373,0.0,0.0,207251,2875,206827.10480243698,0.0260312482714653
2083,339823.101588294,239548.540403761,0.0,0.0,207351,2911,209707.15837845978,0.025993749499320984
2084,344662.0690944991,239598.9545662026,0.0,0.0,207451,2948,212988.10648147122,0.025956250727176666
2085,349507.3352545955,239651.64314754892,0.0,0.0,207551,2987,216213.36060081833,0.02591875195503235
2086,354379.214907015,239706.6156304236,0.0,0.0,207651,3035,219085.45441405778,0.025881245732307434
2087,359233.62907079415,239763.86036866132,0.0,0.0,207751,3077,222138.67392616064,0.025843746960163116
2088,364104.85114108503,239823.38214500042,0.0,0.0,207851,3125,225024.52886369033,0.0258062481880188
2089,368979.423235518,239885.17929384756,0.0,0.0,207951,3175,227913.81136442907,0.02576874941587448
2090,373833.07947661134,239949.23854788044,0.0,0.0,208051,3214,230816.25209741297,0.025731250643730164
2091,378706.49673487863,240015.56610915533,0.0,0.0,208151,3261,233644.9624866473,0.025693751871585846
2092,383553.98237132153,240084.14633670534,0.0,0.0,208251,3301,236736.95963369388,0.02565624564886093
2093,388385.51598652743,240154.9683852487,0.0,0.0,208351,3336,240105.25175446252,0.025618746876716614
