Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
546,146.87301095975837,146.87301095975837,0.0,0.0,99,99,267.0001,1.0
547,288.45794113760377,217.66547604868106,0.0,0.0,199,199,568.3806000000001,1.0
548,433.3683928912534,289.5664483295385,0.0,0.0,299,299,857.3962999999997,1.0
549,579.5275182274356,362.0567158040128,0.0,0.0,399,398,1131.1468999999995,1.0
550,716.8334450627677,433.0120616557638,0.0,0.0,499,497,1416.7125999999996,1.0
551,847.6933657063637,502.12561233086376,0.0,0.0,599,596,1727.150499999999,1.0
552,991.6228211184985,572.0537850148115,0.0,0.0,699,696,2016.6077999999984,1.0
553,1131.9278119404116,642.0380383805116,0.0,0.0,799,795,2298.1300999999994,1.0
554,1271.465102761407,711.9743788672778,0.0,0.0,899,895,2584.744599999998,1.0
555,1407.0091874598115,781.477859726531,0.0,0.0,999,994,2873.371599999999,1.0
556,1547.69228056343,851.1337161662491,0.0,0.0,1099,1094,3169.859999999999,1.0
557,1695.5100683897738,921.4984121848762,0.0,0.0,1199,1194,3448.9741999999987,1.0
558,1832.226191187447,991.554395185074,0.0,0.0,1299,1292,3739.5193999999965,1.0
559,1974.2381163547116,1061.7460895543338,0.0,0.0,1399,1390,4022.9115999999954,1.0
560,2118.042700621801,1132.1658636254983,0.0,0.0,1499,1489,4312.700099999998,1.0
561,2257.582535721359,1202.5044056314896,0.0,0.0,1599,1589,4603.903099999997,1.0
562,2404.710078256379,1273.22238637413,0.0,0.0,1699,1689,4879.686899999997,1.0
563,2549.005734146286,1344.0992390281388,0.0,0.0,1799,1789,5163.877200000001,1.0
564,2684.8581822053006,1414.6654991953578,0.0,0.0,1899,1889,5479.607400000002,1.0
565,2829.433151162476,1485.403881793714,0.0,0.0,1999,1988,5764.793600000006,1.0
566,2963.360815834199,1555.7827834146894,0.0,0.0,2099,2088,6074.944000000002,1.0
567,3103.6253482563757,1626.1392636347662,0.0,0.0,2199,2187,6356.928600000003,1.0
568,3240.442012144535,1696.32633965693,0.0,0.0,2299,2287,6661.501500000004,1.0
569,3382.7815186792304,1766.5953054495258,0.0,0.0,2399,2386,6947.465100000003,1.0
570,3523.784704880787,1836.8828814267763,0.0,0.0,2499,2486,7236.713100000003,1.0
571,3670.0309957873856,1907.3885781329534,0.0,0.0,2599,2586,7513.203000000005,1.0
572,3807.511547697456,1977.7635029316386,0.0,0.0,2699,2684,7821.124700000005,1.0
573,3944.682920329565,2048.0106249815644,0.0,0.0,2799,2784,8128.326500000013,1.0
574,4093.420895407965,2118.542013616958,0.0,0.0,2899,2881,8397.136700000017,1.0
575,4230.69295864226,2188.947045117801,0.0,0.0,2999,2980,8691.54590000001,1.0
576,4374.232216952871,2259.4401151769966,0.0,0.0,3099,3080,8983.567700000016,1.0
577,4507.281369614643,2329.685154378173,0.0,0.0,3199,3177,9274.175000000014,1.0
578,4648.93377534952,2399.965415619729,0.0,0.0,3299,3276,9566.884500000018,1.0
579,4800.573698032962,2470.5715415730597,0.0,0.0,3399,3376,9839.052700000024,1.0
580,4938.204248567172,2541.075333201463,0.0,0.0,3499,3476,10135.906800000035,1.0
581,5081.31696750562,2611.6376008210227,0.0,0.0,3599,3575,10419.95220000003,1.0
582,5227.857300295933,2682.3462413473712,0.0,0.0,3699,3675,10704.696800000029,1.0
583,5377.861938497391,2753.2808649565823,0.0,0.0,3799,3775,10985.31290000003,1.0
584,5531.509978929114,2824.517508904596,0.0,0.0,3899,3875,11245.79940000004,1.0
585,5685.001851084467,2896.0296174590935,0.0,0.0,3999,3975,11511.403400000041,1.0
586,5828.149327936358,2967.544732348783,0.0,0.0,4099,4074,11806.96490000003,1.0
587,5960.883635059939,3038.814706222858,0.0,0.0,4199,4174,12123.214900000045,1.0
588,6110.461429648513,3110.2483509536873,0.0,0.0,4299,4274,12400.049800000053,1.0
589,6236.199391452174,3181.2926927831986,0.0,0.0,4399,4373,12723.754100000056,1.0
590,6371.40146408824,3252.1839988121997,0.0,0.0,4499,4473,13016.741900000052,1.0
591,6510.744432710871,3323.0222691143445,0.0,0.0,4599,4569,13294.338100000046,1.0
592,6646.8541817081,3393.742097041871,0.0,0.0,4699,4667,13582.571800000047,1.0
593,6795.079841693596,3464.603300055449,0.0,0.0,4799,4767,13857.237800000044,1.0
594,6933.75068483402,3535.4022262754197,0.0,0.0,4899,4865,14147.012500000044,1.0
595,7085.1193032905685,3606.396567815723,0.0,0.0,4999,4965,14409.927800000047,1.0
596,7221.756876379367,3677.285985630696,8.260469436645508,47.1138801574707,5099,5064,14705.588200000044,0.9823600053787231
597,7377.949112282438,3748.4525842201524,7.424118518829346,38.198001861572266,5199,5163,14958.312200000044,0.9643599987030029
598,7524.043348980274,3819.6901458194,10.940101623535156,46.0621223449707,5299,5263,15246.327400000046,0.9463599920272827
599,7677.421607379329,3891.129617329769,6.581876277923584,41.78834533691406,5399,5362,15511.190800000048,0.9283599853515625
600,7810.954834439395,3962.3991667317623,14.183599472045898,62.66154479980469,5499,5462,15829.920200000044,0.9103599786758423
601,7948.105309866423,4033.5724907163094,9.285926818847656,42.34465789794922,5599,5561,16132.685300000046,0.8923599720001221
