Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
1197,4806.5265898439475,250926.0968711106,0.0,0.0,119244,38,2887.462538380834,0.05903387442231178
1198,9656.505906677961,250724.8711905731,0.0,0.0,119344,79,5986.662513552575,0.058996375650167465
1199,14512.246457842311,250528.0273366292,0.0,0.0,119444,118,8791.018531337597,0.05895887687802315
1200,19376.994069856857,250335.5618634678,0.0,0.0,119544,163,11752.515107360483,0.05892137438058853
1201,24231.272674721204,250147.4551336935,0.0,0.0,119644,201,14585.751969606066,0.058883875608444214
1202,29096.57640512155,249963.7054423148,0.0,0.0,119744,246,17514.11613298807,0.058846376836299896
1203,33977.17882165804,249784.3146394737,0.0,0.0,119844,297,20238.325338983374,0.05880887433886528
1204,38835.445650055764,249609.2533374078,0.0,0.0,119944,338,23156.386399381703,0.05877137556672096
1205,43706.35788774637,249438.52125162864,0.0,0.0,120044,387,26036.377400831305,0.058733876794576645
1206,48575.712068486544,249272.10633101297,0.0,0.0,120144,434,28901.702924298428,0.05869637429714203
1207,53437.31415049568,249109.9914368238,0.0,0.0,120244,476,31881.31860827624,0.05865887552499771
1208,58294.63760847091,248952.16236004265,0.0,0.0,120344,517,34763.93926597618,0.058621376752853394
1209,63166.18052194734,248798.62022629217,0.0,0.0,120444,564,37588.16745066478,0.05858387425541878
1210,68041.90838455506,248649.35787134443,0.0,0.0,120544,611,40390.3503178816,0.05854637548327446
1211,72885.24890451964,248504.3379794576,0.0,0.0,120644,647,43434.347528848135,0.05850887671113014
1212,77752.92012831007,248363.57011643107,0.0,0.0,120744,696,46460.23451893356,0.058471374213695526
1213,82627.07549255974,248227.04911591724,0.0,0.0,120844,744,49222.659805184216,0.05843387544155121
1214,87473.63392699919,248094.74177831318,0.0,0.0,120944,783,52391.120634759,0.05839637666940689
1215,92315.70844337744,247966.63402063644,0.0,0.0,121044,820,55512.32408933489,0.058358874171972275
1216,97175.67195297884,247842.73018984954,0.0,0.0,121144,866,58461.27604817121,0.05832137539982796
1217,102038.19189833608,247723.0220303327,0.0,0.0,121244,909,61356.059877745975,0.05828387662768364
1218,106901.74145873643,247607.50006103687,0.0,0.0,121344,953,64186.67527195152,0.05824637413024902
1219,111760.37543858464,247496.1499588873,0.0,0.0,121444,997,67121.29876274781,0.058208875358104706
1220,116610.7056421417,247388.95467279662,0.0,0.0,121544,1036,70130.21714558917,0.05817137658596039
1221,121455.76726307531,247285.89969128292,0.0,0.0,121644,1074,73117.88579192488,0.05813387408852577
1222,126322.913534811,247186.9929160119,0.0,0.0,121744,1121,76044.1184446535,0.058096375316381454
1223,131216.35498009835,247092.24566279628,0.0,0.0,121844,1176,78744.62636442612,0.05805887654423714
1224,136118.05389396672,247001.65448584215,0.0,0.0,121944,1232,81349.94284385821,0.05802137404680252
1225,140966.37111000836,246915.1656739532,0.0,0.0,122044,1270,84336.19770468208,0.0579838752746582
1226,145793.36851547216,246832.75182133832,0.0,0.0,122144,1302,87423.089216785,0.057946376502513885
1227,150648.2527604292,246754.42568203787,0.0,0.0,122244,1340,90228.34556198436,0.05790887400507927
1228,155504.32578348793,246680.17824517982,0.0,0.0,122344,1379,93043.85884326386,0.05787137523293495
1229,160336.2258113764,246609.97990986778,0.0,0.0,122444,1413,96276.13022610526,0.057833876460790634
1230,165178.97868581826,246543.82962455176,0.0,0.0,122544,1450,99430.34639942972,0.05779637396335602
1231,170027.7032197765,246481.72237909335,0.0,0.0,122644,1489,102431.15307346494,0.0577588751912117
1232,174871.12928169343,246423.64403919276,0.0,0.0,122744,1527,105608.6636885516,0.05772137641906738
1233,179728.68562588448,246369.59626089994,0.0,0.0,122844,1566,108457.38324326782,0.05768387392163277
1234,184579.81005146488,246319.56404534573,0.0,0.0,122944,1607,111491.11895991639,0.05764637514948845
1235,189436.70384923727,246273.54231379554,0.0,0.0,123044,1650,114520.57511193417,0.05760887637734413
1236,194310.78499966642,246231.53523431762,0.0,0.0,123144,1698,117286.22299548636,0.057571373879909515
1237,199175.4478552388,246193.52547068347,0.0,0.0,123244,1743,120196.54367449296,0.0575338751077652
1238,204035.9990364753,246159.50002561955,0.0,0.0,123344,1787,123171.08191813024,0.05749637633562088
1239,208910.47694920824,246129.46049088053,0.0,0.0,123444,1833,125827.86191460864,0.057458873838186264
1240,213766.9238790917,246103.3827015076,0.0,0.0,123544,1874,128769.69139404074,0.057421375066041946
1241,218625.03524382474,246081.25842819226,0.0,0.0,123644,1915,131707.12960500724,0.05738387629389763
1242,223465.98071580194,246063.0643190109,0.0,0.0,123744,1955,134965.7009402641,0.05734637379646301
1243,228336.03215298353,246048.814293154,0.0,0.0,123844,2001,137834.8589729628,0.057308875024318695
1244,233200.30743466518,246038.49420732388,0.0,0.0,123944,2047,140692.37042114578,0.05727137625217438
1245,238063.42600581492,246032.09367104658,0.0,0.0,124044,2093,143642.07092827745,0.05723387375473976
1246,242896.77172869735,246029.57937919223,0.0,0.0,124144,2127,146813.8257855519,0.057196374982595444
1247,247764.21230719096,246030.96930942303,0.0,0.0,124244,2172,149684.03865774002,0.057158876210451126
1248,252632.67318577095,246036.25490099736,0.0,0.0,124344,2215,152345.1612941334,0.05712137371301651
1249,257510.16375691522,246045.4340280821,0.0,0.0,124444,2261,154981.71140850926,0.05708387494087219
1250,262375.00735391706,246058.48724416987,0.0,0.0,124544,2307,157889.00410882253,0.057046376168727875
1251,267222.93241560797,246075.39175309273,0.0,0.0,124644,2345,160842.70122319832,0.05700887367129326
1252,272092.565759513,246096.1556589239,0.0,0.0,124744,2389,163671.30569765912,0.05697137489914894
1253,276984.54598392546,246120.78754913522,0.0,0.0,124844,2442,166281.58964513137,0.05693387612700462
1254,281849.25295831566,246149.2564458756,0.0,0.0,124944,2486,169158.55613095654,0.05689637362957001
1255,286682.31133334246,246181.5279863911,0.0,0.0,125044,2520,172386.875842634,0.05685887485742569
1256,291524.62205125537,246217.60045581422,0.0,0.0,125144,2558,175483.63402092966,0.05682137608528137
1257,296378.2446723237,246257.47378190048,0.0,0.0,125244,2600,178549.7643561866,0.056783873587846756
1258,301224.3387542711,246301.13292802626,0.0,0.0,125344,2639,181541.35987965378,0.05674637481570244
1259,306099.1999395398,246348.59171136873,0.0,0.0,125444,2686,184365.26173550644,0.05670887604355812
1260,310948.5767793039,246399.82088271523,0.0,0.0,125544,2724,187330.02341451304,0.056671373546123505
1261,315826.47675162373,246454.8340807096,0.0,0.0,125644,2773,190086.73424905905,0.05663387477397919
1262,320680.1944531467,246513.603170474,0.0,0.0,125744,2814,193021.87522423078,0.05659637600183487
1263,325548.5132013422,246576.1307891693,0.0,0.0,125844,2862,195985.32277397576,0.05655887350440025
1264,330416.9837792677,246642.4081433117,0.0,0.0,125944,2910,198986.31381306757,0.056521374732255936
1265,335258.9059251209,246712.4053769466,0.0,0.0,126044,2947,202088.90280954613,0.05648387596011162
1266,340117.51239665726,246786.12685052174,0.0,0.0,126144,2990,205048.70537562668,0.056446373462677
1267,344971.6386716609,246863.5602194659,0.0,0.0,126244,3030,208223.22618886613,0.056408874690532684
1268,349847.3102819974,246944.71368681223,0.0,0.0,126344,3077,210982.7696846337,0.05637137591838837
1269,354700.25096631475,247029.56056655987,0.0,0.0,126444,3117,213891.8802507142,0.05633387342095375
1270,359571.696880737,247118.10670056005,0.0,0.0,126544,3164,216660.85374648165,0.05629637464880943
1271,364418.45278281946,247210.32395376934,0.0,0.0,126644,3203,219709.9031030451,0.056258875876665115
1272,369266.4407248542,247306.20464251333,0.0,0.0,126744,3241,222667.5825448351,0.0562213733792305
1273,374122.11556886625,247405.7461738527,0.0,0.0,126844,3284,225733.19486375674,0.05618387460708618
1274,378998.2895083204,247508.95601176206,0.0,0.0,126944,3332,228412.95622032013,0.056146375834941864
1275,383868.573775626,247615.82091596574,0.0,0.0,127044,3378,231309.50755557706,0.05610887333750725
1276,388712.253013448,247726.31146576803,0.0,0.0,127144,3416,234482.9175470842,0.05607137456536293
1277,393571.5904269892,247840.43140235735,0.0,0.0,127244,3458,237560.5262800683,0.05603387579321861
1278,398426.9710109542,247958.16911901772,0.0,0.0,127344,3498,240457.07345339283,0.055996373295784
1279,403249.9113505475,248079.49079263612,0.0,0.0,127444,3530,243792.11489660456,0.05595887452363968
1280,408093.62172137795,248204.4042437905,0.0,0.0,127544,3567,246818.94122546847,0.05592137575149536
1281,412952.47168869484,248332.9128767428,0.0,0.0,127644,3610,249778.59304510074,0.055883873254060745
1282,417795.05396966485,248464.99560557597,0.0,0.0,127744,3646,252817.85192226,0.05584637448191643
1283,422640.6459132621,248600.6464235726,0.0,0.0,127844,3685,255905.21385481852,0.05580887570977211
1284,427477.2253085285,248739.8499869072,0.0,0.0,127944,3720,259135.47987757478,0.055771373212337494
1285,432338.5687199564,248882.61726430463,0.0,0.0,128044,3763,261875.75879237597,0.055733874440193176
1286,437217.1222950374,249028.95332104954,0.0,0.0,128144,3815,264695.97522422357,0.05569637566804886
1287,442108.42899342434,249178.859746261,0.0,0.0,128244,3871,267425.9241766671,0.05565887317061424
1288,446958.26981959946,249332.29606129072,0.0,0.0,128344,3910,270477.17803891253,0.055621374398469925
1289,451799.2943133987,249489.24722272647,0.0,0.0,128444,3949,273683.20675556076,0.05558387562632561
1290,456653.4662024639,249649.7152467232,0.0,0.0,128544,3989,276596.72756382875,0.05554637312889099
1291,461504.60383257206,249813.68961869364,0.0,0.0,128644,4031,279646.15816755156,0.055508874356746674
1292,466376.10814533,249981.17795475444,0.0,0.0,128744,4080,282483.3803195695,0.055471375584602356
1293,471220.19976055756,250152.15092369248,0.0,0.0,128844,4116,285459.7507088037,0.05543387308716774
1294,476082.94852824113,250326.61486006668,0.0,0.0,128944,4162,288410.01752701425,0.05539637431502342
1295,480923.34330174077,250504.54443448156,0.0,0.0,129044,4198,291521.3847003386,0.055358875542879105
1296,485753.242870377,250685.92353890397,0.0,0.0,129144,4231,294700.6903793453,0.05532137677073479
1297,490611.83165394096,250870.7663032453,0.0,0.0,129244,4273,297595.9591386071,0.05528387427330017
1298,494926.2418379201,251058.6458071211,0.0,0.0,129333,4306,300266.46536803676,0.05525049939751625
