Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
1390,4798.365903529199,249068.1084738203,0.0,0.0,138474,38,3077.1055284383538,0.05182262510061264
1391,9662.067559890238,248896.12137546254,0.0,0.0,138574,81,5967.60353485922,0.05178512632846832
1392,14517.782464342179,248727.86700438496,0.0,0.0,138674,124,9014.776644263758,0.05174762383103371
1393,19376.831467946075,248563.33971920816,0.0,0.0,138774,169,11995.555544151386,0.05171012505888939
1394,24225.13397481137,248402.5238011118,0.0,0.0,138874,209,15041.74627713541,0.05167262628674507
1395,29064.202481492608,248245.40465976537,0.0,0.0,138974,244,18150.87303142607,0.051635123789310455
1396,33928.76263436387,248091.99260391327,0.0,0.0,139074,292,21215.583489551573,0.05159762501716614
1397,38784.97909594904,247942.27371013074,0.0,0.0,139174,333,24081.17509327403,0.05156012624502182
1398,43626.18797900143,247796.2293314809,0.0,0.0,139274,373,27328.66375594517,0.051522623747587204
1399,48487.013839915635,247653.86560612975,0.0,0.0,139374,414,30240.2466394974,0.051485124975442886
1400,53333.052100764246,247515.16409756063,0.0,0.0,139474,453,33404.3683234752,0.05144762620329857
1401,58206.00764562838,247380.13616856496,0.0,0.0,139574,502,36338.325680038695,0.05141012370586395
1402,63049.443922606486,247248.75292391353,0.0,0.0,139674,536,39314.83340165853,0.051372624933719635
1403,67902.50396843224,247121.0134303555,0.0,0.0,139774,576,42292.19122626205,0.05133512616157532
1404,72747.17679655367,246996.90393808944,0.0,0.0,139874,611,45203.04333566662,0.0512976236641407
1405,77630.41909214649,246876.44413378934,0.0,0.0,139974,662,47992.69000330901,0.051260124891996384
1406,82507.44590604887,246759.6218180624,0.0,0.0,140074,710,50718.49459566729,0.051222626119852066
1407,87385.162978586,246646.42973081852,0.0,0.0,140174,760,53547.7031617477,0.05118512362241745
1408,92236.47583357585,246536.8414029993,0.0,0.0,140274,800,56573.2433890496,0.05114762485027313
1409,97108.61788300393,246430.86393950996,0.0,0.0,140374,846,59474.13722856688,0.051110126078128815
1410,101945.84260197057,246328.46491659177,0.0,0.0,140474,880,62612.05825132316,0.0510726235806942
1411,106797.78827345351,246229.6471569295,0.0,0.0,140574,922,65733.17912493293,0.05103512480854988
1412,111630.717540618,246134.38959881463,0.0,0.0,140674,955,68832.46866970671,0.05099762603640556
1413,116476.82602887816,246042.69400930265,0.0,0.0,140774,992,71723.92222442293,0.05096012353897095
1414,121313.43130514835,245954.54612046582,0.0,0.0,140874,1028,74924.61374149713,0.05092262476682663
