Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
2219,4788.262539239715,243087.07375124848,0.0,0.0,220867,36,3142.937818210604,0.02092524617910385
2220,9673.835692601806,242981.97999255478,0.0,0.0,220967,86,5707.342356591438,0.020887747406959534
2221,14532.402266586,242879.167401319,0.0,0.0,221067,126,8426.542089575454,0.020850248634815216
2222,19381.274455728802,242778.62853809563,0.0,0.0,221167,164,11417.456531365546,0.0208127498626709
2223,24236.20061879743,242680.36305791605,0.0,0.0,221267,207,14529.938490201885,0.02077525109052658
2224,29101.97360287114,242584.37277052054,0.0,0.0,221367,251,17338.083218214655,0.020737752318382263
2225,33965.58324869651,242490.65363776142,0.0,0.0,221467,294,20234.179278612977,0.02070024609565735
2226,38824.9052913498,242399.20067487573,0.0,0.0,221567,337,23265.10706557447,0.02066274732351303
2227,43695.56856302807,242310.015920786,0.0,0.0,221667,383,26136.87435182511,0.020625248551368713
2228,48572.267771138235,242223.09903063363,0.0,0.0,221767,431,28832.021143757815,0.020587749779224396
2229,53424.132767434494,242138.43581706268,0.0,0.0,221867,470,31813.45239875933,0.020550251007080078
2230,58301.449092336974,242056.0346576164,0.0,0.0,221967,517,34521.174662281606,0.02051275223493576
2231,63166.2037850737,241975.88688392797,0.0,0.0,222067,562,37431.39775037949,0.020475246012210846
2232,68032.06520172943,241897.98996423153,0.0,0.0,222167,607,40225.1584556639,0.02043774724006653
2233,72904.181280208,241822.34367565322,0.0,0.0,222267,654,42997.792080693,0.02040024846792221
2234,77782.33831076707,241748.94770009842,0.0,0.0,222367,700,45716.96342092108,0.020362749695777893
2235,82637.97140471454,241677.7889450468,0.0,0.0,222467,742,48721.5292128538,0.020325250923633575
2236,87490.70432825347,241608.86311374741,0.0,0.0,222567,781,51670.31844015574,0.020287752151489258
2237,92341.3672474638,241542.1662880699,0.0,0.0,222667,826,54908.16747427618,0.020250245928764343
2238,97203.4010037442,241477.70055993932,0.0,0.0,222767,870,57767.343673878546,0.020212747156620026
2239,102064.32580599387,241415.4624462099,0.0,0.0,222867,913,60657.26491751587,0.020175248384475708
2240,106938.70742072986,241355.45496962554,0.0,0.0,222967,960,63438.17398430713,0.02013774961233139
2241,111809.56888883852,241297.6735752987,0.0,0.0,223067,1007,66213.09263064289,0.020100250840187073
2242,116682.76809229716,241242.11632809276,0.0,0.0,223167,1054,69075.37103479086,0.020062752068042755
2243,121523.92083478745,241188.76597359485,0.0,0.0,223267,1092,72176.34536862602,0.02002524584531784
2244,126363.4626131417,241137.6188451492,0.0,0.0,223367,1130,75474.56088072897,0.019987747073173523
2245,131225.3202274271,241088.68193570228,0.0,0.0,223467,1173,78501.77088714976,0.019950248301029205
2246,136077.2228935945,241041.9478640325,0.0,0.0,223567,1214,81571.00189357059,0.019912749528884888
2247,140922.45153070524,240997.41072153547,0.0,0.0,223667,1253,84760.53368550337,0.01987525075674057
2248,145784.23246942175,240955.07493751936,0.0,0.0,223767,1298,87661.36738084529,0.019837751984596252
2249,150638.65839519797,240914.93430794505,0.0,0.0,223867,1337,90597.95475871544,0.019800245761871338
2250,155511.56355522,240876.99411658445,0.0,0.0,223967,1387,93591.87817422763,0.01976274698972702
2251,160390.45813685498,240841.25409172665,0.0,0.0,224067,1434,96205.85852936943,0.019725248217582703
2252,165234.71867606483,240807.69593131135,0.0,0.0,224167,1472,99371.53356348984,0.019687749445438385
2253,170074.003297286,240776.31452375406,0.0,0.0,224267,1507,102403.20693638871,0.019650250673294067
2254,174937.76608256882,240747.11782821477,0.0,0.0,224367,1552,105334.23423897472,0.01961275190114975
2255,179786.57840447323,240720.09631251273,0.0,0.0,224467,1593,108453.2513583218,0.019575245678424835
2256,184671.77318528248,240695.26320523437,0.0,0.0,224567,1642,111077.05877383404,0.019537746906280518
2257,189530.9105204888,240672.6040587841,0.0,0.0,224667,1684,113936.12133991449,0.0195002481341362
2258,194382.89651080116,240652.11282038304,0.0,0.0,224767,1722,116885.75357715889,0.019462749361991882
2259,199254.84832595207,240633.79544671293,0.0,0.0,224867,1768,119693.87167519922,0.019425250589847565
2260,204071.29502867485,240617.624504467,0.0,0.0,224967,1796,123069.13279596796,0.019387751817703247
2261,208954.42401464886,240603.6266262664,0.0,0.0,225067,1848,125824.95708221862,0.019350245594978333
2262,213791.2240131386,240591.77845896053,0.0,0.0,225167,1885,129149.25023423642,0.019312746822834015
2263,218637.15362208147,240582.0811865061,0.0,0.0,225267,1923,132167.08199846954,0.019275248050689697
2264,223491.47903809583,240574.53566679376,0.0,0.0,225367,1967,135236.69788202178,0.01923774927854538
2265,228328.8878230225,240569.13158566237,0.0,0.0,225467,2005,138540.91186713614,0.019200250506401062
2266,233186.75603374426,240565.87513416173,0.0,0.0,225567,2045,141398.25292753437,0.019162751734256744
2267,238046.0518468523,240564.76410096628,0.0,0.0,225667,2090,144476.39119247833,0.01912524551153183
2268,242914.47980884224,240565.7996742179,0.0,0.0,225767,2136,147334.563350889,0.019087746739387512
2269,247794.05501443197,240568.9839276717,0.0,0.0,225867,2185,150071.87490063402,0.019050247967243195
2270,252633.58124345672,240574.2963879605,0.0,0.0,225967,2221,153257.00307395833,0.019012749195098877
2271,257484.60865467234,240581.739307092,0.0,0.0,226067,2262,156307.01530126025,0.01897525042295456
2272,262326.1199181882,240591.3056865953,0.0,0.0,226167,2300,159550.04978708518,0.01893775165081024
2273,267208.2020185071,240603.01056624873,0.0,0.0,226267,2354,162478.89678356345,0.018900245428085327
2274,272056.01103876287,240616.83606096194,0.0,0.0,226367,2394,165439.82951015464,0.01886274665594101
2275,276920.19989067526,240632.78657231064,0.0,0.0,226467,2439,168353.231855354,0.018825247883796692
2276,281786.465068651,240650.86021240568,0.0,0.0,226567,2487,171358.87361958704,0.018787749111652374
2277,286651.93710776774,240671.05383703051,0.0,0.0,226667,2531,174185.73149177514,0.018750250339508057
2278,291514.29197875946,240693.36328772895,0.0,0.0,226767,2575,177133.65560615092,0.01871275156736374
2279,296351.15089519206,240717.7745980831,0.0,0.0,226867,2611,180376.74061896474,0.018675245344638824
2280,301195.5587306758,240744.28831317852,0.0,0.0,226967,2650,183540.03483490238,0.018637746572494507
2281,306018.4321421513,240772.89223247248,0.0,0.0,227067,2679,186684.29983138083,0.01860024780035019
2282,310874.8039823872,240803.5982822973,0.0,0.0,227167,2724,189760.13899334113,0.01856274902820587
2283,315761.2802166317,240836.41688209338,0.0,0.0,227267,2776,192459.85546283072,0.018525250256061554
2284,320618.2020303711,240871.33232417138,0.0,0.0,227367,2819,195415.39763615502,0.018487751483917236
2285,325485.8045370256,240908.3465289889,0.0,0.0,227467,2861,198118.30917595734,0.018450245261192322
2286,330337.44459322584,240947.4497638224,0.0,0.0,227567,2901,201215.46511348692,0.018412746489048004
2287,335195.92150268,240988.64227769437,0.0,0.0,227667,2944,204179.44515754975,0.018375247716903687
2288,340077.2406736894,241031.9313115065,0.0,0.0,227767,2994,206954.90428826094,0.01833774894475937
2289,344961.4319715023,241077.31537293002,0.0,0.0,227867,3046,209734.47536002338,0.01830025017261505
2290,349824.4373484823,241124.78247112976,0.0,0.0,227967,3088,212522.39230252433,0.018262751400470734
2291,354689.8105086384,241174.33091268188,0.0,0.0,228067,3132,215383.46841690014,0.01822524517774582
2292,359548.0577687974,241225.9548668276,0.0,0.0,228167,3174,218385.8413856789,0.0181877464056015
