Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
265,4796.317638810371,221626.22003703885,0.0,0.0,26465,38,3104.801387812624,0.09382600337266922
266,9664.31741122924,220832.35523319684,0.0,0.0,26565,82,5936.331921222214,0.0937885046005249
267,14509.915895208018,220062.49538492077,0.0,0.0,26665,120,9036.257277785711,0.09375099837779999
268,19363.68932078632,219316.40316906897,0.0,0.0,26765,161,12057.576853808601,0.09371349960565567
269,24237.418538228674,218593.88841117697,0.0,0.0,26865,209,14902.058786367053,0.09367600083351135
270,29089.41661776717,217894.60991747436,0.0,0.0,26965,250,17881.71278284543,0.09363850206136703
271,33950.14370114792,217218.3434975614,0.0,0.0,27065,295,20811.534666397634,0.09360100328922272
272,38801.40036441392,216564.80158132277,0.0,0.0,27165,336,23823.695350375445,0.0935635045170784
273,43690.86861894881,215933.87481868634,0.0,0.0,27265,387,26418.44594273373,0.09352599829435349
274,48552.47269389024,215325.21517459617,0.0,0.0,27365,429,29320.252292904333,0.09348849952220917
275,53417.37422922499,214738.59256247527,0.0,0.0,27465,476,32260.248896626796,0.09345100075006485
276,58270.64639660192,214173.72633082952,0.0,0.0,27565,519,35287.44602094508,0.09341350197792053
277,63132.880425285664,213630.41393548582,0.0,0.0,27665,564,38219.79600605926,0.09337600320577621
278,67988.20381877471,213108.39884546178,0.0,0.0,27765,604,41210.85856574674,0.0933385044336319
279,72829.39229680062,212607.4023935023,0.0,0.0,27865,639,44236.934447877284,0.09330099821090698
280,77716.11714909336,212127.36223249015,0.0,0.0,27965,694,46999.395950037775,0.09326349943876266
281,82589.33032219163,211668.00750940398,0.0,0.0,28065,739,49645.46496640112,0.09322600066661835
282,87456.04282994602,211229.09597343416,0.0,0.0,28165,785,52568.58775833384,0.09318850189447403
283,92317.20708437699,210810.3921393178,0.0,0.0,28265,829,55481.55310353316,0.09315100312232971
284,97151.43560924525,210411.5887830719,0.0,0.0,28365,864,58759.11165327815,0.0931135043501854
285,102029.60379220039,210032.63079359333,0.0,0.0,28465,912,61477.6038102672,0.09307599812746048
286,106888.55203149232,209673.24375957905,0.0,0.0,28565,955,64458.01717180194,0.09303849935531616
287,111751.7552356955,209333.23859109334,0.0,0.0,28665,998,67265.4562535069,0.09300100058317184
288,116627.71687592329,209012.45823913775,0.0,0.0,28765,1048,70106.71771660364,0.09296350181102753
289,121494.39850329283,208710.67182625554,0.0,0.0,28865,1093,73016.5586917754,0.09292600303888321
290,126351.88911671583,208427.65195440143,0.0,0.0,28965,1138,76158.34441339524,0.09288850426673889
291,131186.92422538446,208163.12891423356,0.0,0.0,29065,1170,79229.03154410644,0.09285099804401398
292,136046.18279727572,207916.99599233267,0.0,0.0,29165,1213,82185.24787297037,0.09281349927186966
293,140912.7999960652,207689.09056377396,0.0,0.0,29265,1260,85180.2454979995,0.09277600049972534
294,145781.19590409275,207479.23329374113,0.0,0.0,29365,1307,88003.55787586962,0.09273850172758102
295,150649.85907444594,207287.2421646219,0.0,0.0,29465,1352,90709.01132760216,0.0927010029554367
296,155512.85237923617,207112.91761988995,0.0,0.0,29565,1397,93654.77900163754,0.09266350418329239
297,160354.18349483068,206956.00911611458,0.0,0.0,29665,1435,96723.35955138253,0.09262599796056747
298,165178.6455945335,206816.2854922966,0.0,0.0,29765,1464,99868.93697683718,0.09258849918842316
299,170019.40108846527,206693.6292109505,0.0,0.0,29865,1501,102993.77675740577,0.09255100041627884
300,174869.43933623153,206587.90100538664,0.0,0.0,29965,1542,106040.5036771783,0.09251350164413452
301,179710.06095945655,206498.90153503587,0.0,0.0,30065,1578,109054.28291442276,0.0924760028719902
302,184553.2190488904,206426.47354003208,0.0,0.0,30165,1616,112255.1305394518,0.09243850409984589
303,189423.3457543705,206370.5421986319,0.0,0.0,30265,1662,115106.79359345725,0.09240099787712097
304,194255.58685298526,206330.82103356422,0.0,0.0,30365,1697,118375.94808922477,0.09236349910497665
305,199100.37727046487,206307.1921323776,0.0,0.0,30465,1736,121550.22671922516,0.09232600033283234
306,203978.5352159647,206299.60693069547,0.0,0.0,30565,1785,124392.59740817423,0.09228850156068802
307,208829.77215285294,206307.82175284534,0.0,0.0,30665,1827,127523.29433433978,0.0922510027885437
308,213679.8592606722,206331.67947940787,0.0,0.0,30765,1868,130662.9745389134,0.09221350401639938
309,218548.66679413716,206371.089115907,0.0,0.0,30865,1913,133453.52706238063,0.09217600524425507
310,223403.42248005405,206425.85546112934,0.0,0.0,30965,1956,136455.1361391143,0.09213849902153015
311,228272.67281767336,206495.87731163108,0.0,0.0,31065,2005,139459.15292465396,0.09210100024938583
312,233137.51044140686,206580.9943503844,0.0,0.0,31165,2047,142196.7709637455,0.09206350147724152
313,237992.38880548842,206681.03063845795,0.0,0.0,31265,2088,145087.7065021263,0.0920260027050972
314,242849.8512512516,206795.852291197,0.0,0.0,31365,2131,148141.43287999654,0.09198850393295288
315,247696.02329552837,206925.28321209678,0.0,0.0,31465,2169,151112.3955050256,0.09195099771022797
316,252553.55058521815,207069.22096406246,0.0,0.0,31565,2215,154259.80993687332,0.09191349893808365
317,257422.90715454417,207227.56588918975,0.0,0.0,31665,2262,157159.49139997028,0.09187600016593933
318,262291.1487735162,207400.1790016798,0.0,0.0,31765,2308,159969.49463224353,0.09183850139379501
319,267139.3498694247,207586.8639106415,0.0,0.0,31865,2344,162880.12845542544,0.0918010026216507
320,271995.4896689835,207787.5138351223,0.0,0.0,31965,2385,165847.11903784142,0.09176350384950638
321,276850.05839371897,208001.99378716765,0.0,0.0,32065,2424,168558.03321116575,0.09172600507736206
322,281682.1576543281,208230.1057496047,0.0,0.0,32165,2456,171712.02950238757,0.09168849885463715
323,286546.39157108427,208471.82268115244,0.0,0.0,32265,2501,174593.80734829776,0.09165100008249283
324,291423.3302886169,208727.0580891754,0.0,0.0,32365,2548,177268.18251167965,0.09161350131034851
325,296291.81995658996,208995.6616531859,0.0,0.0,32465,2594,180192.72518074376,0.0915760025382042
326,301167.6021159272,209277.5330307478,0.0,0.0,32565,2644,182901.23184341483,0.09153850376605988
327,306030.13351572194,209572.51047125077,0.0,0.0,32665,2688,185751.8126353476,0.09150099754333496
328,310868.5591239047,209880.40119663876,0.0,0.0,32765,2725,188781.92899688234,0.09146349877119064
329,315711.8815730248,210201.10265232477,0.0,0.0,32865,2766,192025.55539108784,0.09142599999904633
330,320580.6353653982,210534.5755608235,0.0,0.0,32965,2812,194951.24806015188,0.09138850122690201
331,325424.5107012974,210880.62958233093,0.0,0.0,33065,2852,198163.7887391584,0.09135100245475769
332,330283.8204598554,211239.1977231043,0.0,0.0,33165,2897,201154.16353109112,0.09131350368261337
333,332488.602766387,211602.21989389256,0.0,0.0,33210,2923,202305.68575624647,0.09129662811756134
