Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
197,4810.656152365416,240266.6076688213,0.0,0.0,19738,44,3052.451823181845,0.09634862840175629
198,9680.444239593735,239107.88322947844,0.0,0.0,19838,92,5915.807764261087,0.09631112962961197
199,14518.819144434598,237984.93790905326,0.0,0.0,19938,128,9043.804803352758,0.09627362340688705
200,19369.993945731945,236897.3013719223,0.0,0.0,20038,169,12157.237981648475,0.09623612463474274
201,24223.59723888242,235844.46125245182,0.0,0.0,20138,208,15108.659295598683,0.09619862586259842
202,29065.780439265247,234825.84706125382,0.0,0.0,20238,246,18291.140372332393,0.0961611270904541
203,33942.51429458199,233841.1248418094,0.0,0.0,20338,296,21169.52400233274,0.09612362831830978
204,38764.173619732894,232889.52995779924,0.0,0.0,20438,329,24593.09806770229,0.09608612954616547
205,43637.00453576648,231970.82837808068,0.0,0.0,20538,376,27411.099344010458,0.09604862332344055
206,48503.30886623338,231084.51185869976,0.0,0.0,20638,422,30408.448695602707,0.09601112455129623
207,53358.736052664906,230230.06101347838,0.0,0.0,20738,468,33533.974814949725,0.09597362577915192
208,58196.13824315217,229406.9321963955,0.0,0.0,20838,503,36653.560644524485,0.0959361270070076
209,63027.22778780806,228614.64788968794,0.0,0.0,20938,538,39931.76548901299,0.09589862823486328
210,67875.97043915272,227852.85320982756,0.0,0.0,21038,580,42994.167592024605,0.09586112946271896
211,72714.71413569007,227121.06953494958,0.0,0.0,21138,616,46213.417814355314,0.09582362323999405
212,77585.49176594718,226419.0245688979,0.0,0.0,21238,665,49092.68799265102,0.09578612446784973
213,82431.64186170528,225746.1863319484,0.0,0.0,21338,703,52153.708165975506,0.09574862569570541
214,87287.26288140421,225102.1913391552,0.0,0.0,21438,745,55262.85096287948,0.0957111269235611
215,92116.24574720892,224486.5156651184,0.0,0.0,21538,779,58450.86528677216,0.09567362815141678
216,96979.01081888813,223898.9234768869,0.0,0.0,21638,823,61351.44195583626,0.09563612937927246
217,101848.97741446701,223339.0613389859,0.0,0.0,21738,871,64229.05926339357,0.09559862315654755
218,106703.49086281194,222806.47882539604,0.0,0.0,21838,912,67351.30387208727,0.09556112438440323
219,111542.60012719072,222300.7339222224,0.0,0.0,21938,950,70498.80840549676,0.09552362561225891
220,116408.24905200742,221821.58240697256,0.0,0.0,22038,996,73428.4651271166,0.0954861268401146
221,121275.61740085974,221368.67265469278,0.0,0.0,22138,1044,76546.0415703284,0.09544862806797028
222,126116.46412587972,220941.53270613306,0.0,0.0,22238,1083,79795.49219038626,0.09541112929582596
223,130956.68807646171,220539.81464975062,0.0,0.0,22338,1120,82970.7679773477,0.09537362307310104
224,135812.94750249112,220163.2507957628,0.0,0.0,22438,1162,85988.95499513274,0.09533612430095673
225,140662.074535652,219811.47567956764,0.0,0.0,22538,1203,89169.29933536073,0.09529862552881241
