Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
2102,4796.3177680158005,240689.555247314,0.0,0.0,209226,37,3048.6113238926864,0.02529062330722809
2103,9661.01629825563,240579.75080865005,0.0,0.0,209326,83,5941.915132160813,0.02525312453508377
2104,14501.451786399895,240472.35019153732,0.0,0.0,209426,120,9127.298203923301,0.025215625762939453
2105,19337.44621346476,240367.34786296272,0.0,0.0,209526,157,12455.20162582843,0.025178126990795135
2106,24176.389201917802,240264.74180759443,0.0,0.0,209626,193,15507.579692619678,0.02514062076807022
2107,29038.354890175782,240164.53953676074,0.0,0.0,209726,237,18351.518543501097,0.025103121995925903
2108,33907.94463283874,240066.7412461472,0.0,0.0,209826,286,21294.964281456367,0.025065623223781586
2109,38749.36788161121,239971.33016872327,0.0,0.0,209926,324,24443.03576231019,0.025028124451637268
2110,43576.49308745809,239878.29613884108,0.0,0.0,210026,354,27615.162280806057,0.02499062567949295
2111,48416.200943200034,239787.64173770673,0.0,0.0,210126,390,30781.969770180658,0.024953126907348633
2112,53316.43156595622,239699.39222981664,0.0,0.0,210226,447,33337.27290089183,0.024915620684623718
2113,58169.105471899784,239613.5217062793,0.0,0.0,210326,488,36427.19082705733,0.0248781219124794
2114,63042.48609377216,239530.03658305827,0.0,0.0,210426,537,39286.7437155808,0.024840623140335083
2115,67891.5544833599,239448.92198849318,0.0,0.0,210526,576,42487.12331930329,0.024803124368190765
2116,72753.99267984454,239370.18087875837,0.0,0.0,210626,619,45319.961723451364,0.024765625596046448
2117,77612.38993205519,239293.80798407155,0.0,0.0,210726,662,48248.115423764575,0.02472812682390213
2118,82467.01964379121,239219.79817362307,0.0,0.0,210826,705,51298.09855944701,0.024690620601177216
2119,87297.6417504004,239148.1367790838,0.0,0.0,210926,738,54582.01103390791,0.024653121829032898
2120,92146.41870983348,239078.8290383628,0.0,0.0,211026,778,57541.36668024364,0.02461562305688858
2121,96996.60650863293,239011.87228882004,0.0,0.0,211126,816,60551.00066038661,0.024578124284744263
