Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
3513,4810.320368018235,233431.963264117,0.0,0.0,349722,43,3040.227140653667,0.009999999776482582
3514,9681.29236922391,233368.3073122266,0.0,0.0,349822,94,6001.8078310243945,0.009999999776482582
3515,14524.190193079285,233306.06495809712,0.0,0.0,349922,133,9187.695171252486,0.009999999776482582
3516,19381.27562641636,233245.2390299391,0.0,0.0,350022,175,12131.19629699243,0.009999999776482582
3517,24229.144571974284,233185.82570007615,0.0,0.0,350122,213,15230.88399730564,0.009999999776482582
3518,29081.836312290103,233127.82513474856,0.0,0.0,350222,255,18301.51470756134,0.009999999776482582
3519,33940.80385809073,233071.23791279495,0.0,0.0,350322,298,21257.17358117108,0.009999999776482582
3520,38796.10428738352,233016.06178850486,0.0,0.0,350422,342,24306.43256628531,0.009999999776482582
3521,43628.833805214315,232962.28915137163,0.0,0.0,350522,375,27385.453019439556,0.009999999776482582
3522,48502.34958106272,232909.93038339823,0.0,0.0,350622,419,30090.754128844095,0.009999999776482582
3523,53359.28877101772,232858.97957703826,0.0,0.0,350722,461,33077.91328086191,0.009999999776482582
3524,58188.19270880711,232809.42758076364,0.0,0.0,350822,494,36390.05720702743,0.009999999776482582
3525,63016.96341663908,232761.27316665015,0.0,0.0,350922,526,39514.57585336317,0.009999999776482582
3526,67857.84940637415,232714.5185809512,0.0,0.0,351022,563,42577.488118307134,0.009999999776482582
3527,72744.01843400784,232669.1754686646,0.0,0.0,351122,613,45152.7193669157,0.009999999776482582
3528,77599.29270588346,232625.2338753626,0.0,0.0,351222,653,48188.15971211502,0.009999999776482582
3529,82453.4988567932,232582.69230736868,0.0,0.0,351322,693,51029.04109637809,0.009999999776482582
3530,87325.53654900366,232541.5546251941,0.0,0.0,351422,737,53807.64480166256,0.009999999776482582
3531,92183.39376393022,232501.81562155276,0.0,0.0,351522,776,56687.43296504457,0.009999999776482582
3532,97058.84704869958,232463.47908926496,0.0,0.0,351622,824,59571.223326579275,0.009999999776482582
3533,101924.76463214515,232426.54113950348,0.0,0.0,351722,869,62486.59492035925,0.009999999776482582
3534,106770.76529169138,232390.99495114485,0.0,0.0,351822,909,65604.4029594509,0.009999999776482582
3535,111621.15059882692,232356.84058339812,0.0,0.0,351922,945,68421.55360081542,0.009999999776482582
3536,116485.66247918646,232324.08084969607,0.0,0.0,352022,988,71150.09429615735,0.009999999776482582
3537,121362.86370951733,232292.7181540657,0.0,0.0,352122,1036,73898.70683595992,0.009999999776482582
3538,126223.71167496662,232262.7466913703,0.0,0.0,352222,1081,76888.8718324383,0.009999999776482582
3539,131061.71594108276,232234.15882957642,0.0,0.0,352322,1116,80171.7552316151,0.009999999776482582
3540,135926.19108448867,232206.96087200934,0.0,0.0,352422,1161,83173.93614783822,0.009999999776482582
3541,140806.0467569925,232181.1559837781,0.0,0.0,352522,1207,85645.55728849185,0.009999999776482582
3542,145655.77974024197,232156.73448328598,0.0,0.0,352622,1247,88727.23089860727,0.009999999776482582
3543,150529.24608757193,232133.70189626687,0.0,0.0,352722,1296,91668.4388148304,0.009999999776482582
3544,155380.02180728648,232112.05064659438,0.0,0.0,352822,1337,94754.57325662053,0.009999999776482582
3545,160230.2489470012,232091.7794109205,0.0,0.0,352922,1375,97701.42419415026,0.009999999776482582
3546,165087.83884754506,232072.88909782117,0.0,0.0,353022,1419,100719.41432983273,0.009999999776482582
3547,169916.45347573957,232055.37037301224,0.0,0.0,353122,1451,103871.6704442085,0.009999999776482582
3548,174760.9150470139,232039.22654226384,0.0,0.0,353222,1488,106895.71949963554,0.009999999776482582
3549,179602.9145023335,232024.45575013992,0.0,0.0,353322,1526,110126.423388159,0.009999999776482582
3550,184482.4427712363,232011.06740517262,0.0,0.0,353422,1575,112706.10112611423,0.009999999776482582
3551,189365.29691617092,231999.06127609353,0.0,0.0,353522,1627,115362.52217657003,0.009999999776482582
