Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon
980,4792.731792618846,247458.06861008855,0.0,0.0,97650,37,3159.5537379552593,0.06713162362575531
981,9644.495854444696,247215.8959290747,0.0,0.0,97750,77,6189.476148496217,0.06709412485361099
982,14495.121424370453,246979.15048196915,0.0,0.0,97850,118,9298.218359462744,0.06705662608146667
983,19348.5732822698,246747.81859457112,0.0,0.0,97950,161,12323.664823981158,0.06701911985874176
984,24205.76056121473,246521.88757118702,0.0,0.0,98050,207,15339.999992334395,0.06698162853717804
985,29064.470603930175,246301.34252355283,0.0,0.0,98150,251,18339.06825230714,0.06694412231445312
986,33894.5871609579,246086.1381108248,0.0,0.0,98250,283,21627.968065546516,0.06690662354230881
987,38750.3197067441,245876.2840436142,0.0,0.0,98350,325,24544.435836172583,0.06686912477016449
988,43603.39780036222,245671.76140838338,0.0,0.0,98450,369,27663.239832650946,0.06683162599802017
989,48457.74065843436,245472.5553268178,0.0,0.0,98550,409,30578.49575881646,0.06679412722587585
990,53303.59516142321,245278.6411389617,0.0,0.0,98650,449,33772.371254583995,0.06675662100315094
991,58148.83218828074,245090.00221864853,0.0,0.0,98750,486,36802.43775674446,0.06671912968158722
992,63000.75579998629,244906.62936223496,0.0,0.0,98850,529,39943.922715580826,0.0666816234588623
993,67886.86311247009,244728.54106620903,0.0,0.0,98950,582,42702.95688393407,0.06664412468671799
994,72733.71743974628,244555.68194698647,0.0,0.0,99050,620,45781.2643058392,0.06660662591457367
995,77587.38534023226,244388.04309497162,0.0,0.0,99150,660,48741.440629731886,0.06656912714242935
996,82448.70967308726,244225.61648171,0.0,0.0,99250,700,51520.155110585685,0.06653162837028503
997,87288.63678003504,244068.36499904297,0.0,0.0,99350,734,54512.86598277376,0.06649412214756012
998,92150.23563990492,243916.29479948428,0.0,0.0,99450,774,57233.46122641111,0.0664566308259964
999,97013.6846015846,243769.39218928636,0.0,0.0,99550,816,60147.31501834385,0.06641912460327148
1000,101876.43303382756,243627.64098133883,0.0,0.0,99650,860,63063.84553044681,0.06638162583112717
1001,106719.2346674206,243491.005845297,0.0,0.0,99750,896,66054.98700987895,0.06634412705898285
1002,111575.99125705849,243359.48539206845,0.0,0.0,99850,941,69185.06762993684,0.06630662083625793
1003,116420.23293030963,243233.05187368026,0.0,0.0,99950,980,72327.35898650024,0.06626912951469421
1004,121296.26960735215,243111.72174207197,0.0,0.0,100050,1031,75275.2907571264,0.0662316232919693
1005,126147.82776856831,242995.45544587565,0.0,0.0,100150,1072,78304.40643613297,0.06619412451982498
1006,130999.2550621359,242884.23776922846,0.0,0.0,100250,1108,81149.51479269647,0.06615662574768066
1007,135848.99561468622,242778.05201312277,0.0,0.0,100350,1145,84113.54673022614,0.06611912697553635
1008,140699.61222876213,242676.88408469426,0.0,0.0,100450,1186,87179.50178565325,0.06608162820339203
1009,145554.6258807686,242580.7234330072,0.0,0.0,100550,1227,90151.97072815419,0.06604412198066711
1010,150437.3522080121,242489.5826108262,0.0,0.0,100650,1278,92933.0465840068,0.0660066306591034
1011,155316.32834651473,242403.44303151366,0.0,0.0,100750,1327,95661.47297821239,0.06596912443637848
1012,160150.0195644943,242322.24518011478,0.0,0.0,100850,1359,98712.27293207745,0.06593162566423416
1013,165026.322374198,242246.0164593989,0.0,0.0,100950,1405,101423.67619702149,0.06589412689208984
1014,169875.3870048712,242174.7153466358,0.0,0.0,101050,1446,104517.67434406813,0.06585662066936493
1015,174709.4579593344,242108.31253424674,0.0,0.0,101150,1483,107866.43916227868,0.06581912934780121
1016,179566.39777778805,242046.81605955996,0.0,0.0,101250,1527,110971.85559412627,0.0657816231250763
1017,184415.12825213035,241990.20339963125,0.0,0.0,101350,1566,114092.05772980869,0.06574412435293198
1018,189271.47252351648,241938.46764803544,0.0,0.0,101450,1607,117062.62096847479,0.06570662558078766
1019,194127.38309551807,241891.59403572907,0.0,0.0,101550,1649,120042.20057219725,0.06566912680864334
1020,198981.01244338902,241849.5660420049,0.0,0.0,101650,1690,123094.14932648787,0.06563162803649902
1021,203825.9795298649,241812.36096713983,0.0,0.0,101750,1726,126103.07310208508,0.06559412181377411
1022,208713.73174986924,241780.0064908766,0.0,0.0,101850,1779,128850.37291035324,0.06555663049221039
1023,213545.70620573088,241752.43393200438,0.0,0.0,101950,1812,132011.9696532798,0.06551912426948547
1024,218382.95508917724,241729.63444045043,0.0,0.0,102050,1848,135236.60430600852,0.06548162549734116
1025,223215.9016437921,241711.58986657453,0.0,0.0,102150,1881,138358.98741541305,0.06544412672519684
1026,228084.9951526805,241698.3215172913,0.0,0.0,102250,1926,141213.00775564124,0.06540662050247192
1027,232929.15879326375,241689.79120335742,0.0,0.0,102350,1962,144189.1012791083,0.0653691291809082
1028,237784.52273214926,241685.9959959024,0.0,0.0,102450,2002,147223.4637535693,0.06533162295818329
1029,242634.18986630155,241686.9165724756,0.0,0.0,102550,2039,150164.7828729163,0.06529412418603897
1030,247484.54949730355,241692.53988278098,0.0,0.0,102650,2079,153057.83055192287,0.06525662541389465
1031,252314.43514257594,241702.83241694744,0.0,0.0,102750,2113,156343.6006023787,0.06521912664175034
1032,257196.36539425785,241717.8309967899,0.0,0.0,102850,2164,159148.36992130018,0.06518162786960602
1033,262055.61227733022,241737.50003091036,0.0,0.0,102950,2208,161985.34426792117,0.0651441216468811
1034,266888.0609372602,241761.8000897571,0.0,0.0,103050,2243,165334.95779138847,0.06510663032531738
1035,271746.7309731015,241790.74307323527,0.0,0.0,103150,2286,168296.92269127624,0.06506912410259247
1036,276606.5930799917,241824.31669908555,0.0,0.0,103250,2328,171164.76466502628,0.06503162533044815
1037,281482.18185359315,241862.52273487987,0.0,0.0,103350,2375,173979.43390369235,0.06499412655830383
1038,286318.9284184381,241905.31042081205,0.0,0.0,103450,2410,177106.2485237503,0.06495662033557892
1039,291174.5484987012,241952.68468819465,0.0,0.0,103550,2453,180214.64746625128,0.0649191290140152
1040,296027.2502751406,242004.62951584783,0.0,0.0,103650,2493,183175.48380150812,0.06488162279129028
1041,300880.56021871144,242061.13232842254,0.0,0.0,103750,2532,186034.15257213425,0.06484412401914597
1042,305720.8155703435,242122.16749931604,0.0,0.0,103850,2568,189262.01977315842,0.06480662524700165
1043,310579.12873455154,242187.73930126548,0.0,0.0,103950,2609,192101.3753655168,0.06476912647485733
1044,315424.4009337528,242257.82223105733,0.0,0.0,104050,2650,195371.36185631304,0.06473162770271301
1045,320259.91431229253,242332.39402080997,0.0,0.0,104150,2687,198699.84450264886,0.0646941214799881
1046,325124.435011224,242411.4695136375,0.0,0.0,104250,2733,201620.89000338755,0.06465663015842438
1047,329975.13140660967,242495.0226261308,0.0,0.0,104350,2772,204627.56483793355,0.06461912393569946
1048,334824.1748025523,242583.03897710927,0.0,0.0,104450,2813,207731.8377264569,0.06458162516355515
1049,339668.70541948086,242675.5015165782,0.0,0.0,104550,2851,210779.84283089027,0.06454412639141083
1050,344509.36615056585,242772.39387113004,0.0,0.0,104650,2889,214035.7487946977,0.06450662016868591
1051,349394.8733806656,242873.74603796419,0.0,0.0,104750,2940,216819.12568322106,0.06446912884712219
1052,354248.4122193052,242979.51495171664,0.0,0.0,104850,2980,219765.5225454667,0.06443162262439728
1053,359082.6803211085,243089.66975757,0.0,0.0,104950,3015,222939.5645518876,0.06439412385225296
1054,363930.4047678527,243204.21073862235,0.0,0.0,105050,3056,225994.2274730819,0.06435662508010864
1055,368779.92420987977,243323.12713395493,0.0,0.0,105150,3096,229015.70175933265,0.06431912630796432
1056,373605.76876498025,243446.38412698338,0.0,0.0,105250,3127,232311.79341703266,0.06428162753582001
1057,378479.65670061175,243574.01481939704,0.0,0.0,105350,3175,235108.21806479018,0.06424412131309509
1058,383347.1678683369,243706.0007996132,0.0,0.0,105450,3222,238006.8665932285,0.06420662999153137
1059,388208.2823629901,243842.32370674846,0.0,0.0,105550,3267,241065.69740646778,0.06416912376880646
1060,393044.7166760003,243982.9480168043,0.0,0.0,105650,3301,244174.69068774718,0.06413162499666214
1061,397902.7618759223,244127.88192815942,0.0,0.0,105750,3342,247080.04110325946,0.06409412622451782
1062,402760.83867550746,244277.11330797817,0.0,0.0,105850,3386,250221.3081096804,0.06405662000179291
1063,407619.4334010997,244430.63052611082,0.0,0.0,105950,3430,253208.63695061932,0.06401912868022919
1064,412480.1258857327,244588.4234795001,0.0,0.0,106050,3475,256166.4946345971,0.06398162245750427
1065,417342.22407722945,244750.48145379443,0.0,0.0,106150,3518,258992.74002880257,0.06394412368535995
1066,422202.92669853906,244916.79114943152,0.0,0.0,106250,3561,261890.56961121832,0.06390662491321564
1067,427055.0303056989,245087.33257186244,0.0,0.0,106350,3598,264820.73093511106,0.06386912614107132
1068,431904.49550619995,245262.09137722664,0.0,0.0,106450,3639,267903.0372277544,0.063831627368927
1069,436713.66971777653,245441.01808595614,0.0,0.0,106550,3662,271135.8804813339,0.06379412114620209
1070,441542.6075049831,245624.1194766368,0.0,0.0,106650,3695,274434.8236070739,0.06375662982463837
1071,446401.73658189847,245811.4120299067,0.0,0.0,106750,3738,277408.2099522734,0.06371912360191345
1072,451257.1448278767,246002.88056000732,0.0,0.0,106850,3781,280514.3059324166,0.06368162482976913
1073,456123.7355528028,246198.52381419056,0.0,0.0,106950,3821,283173.8414019063,0.06364412605762482
1074,460988.31701788725,246398.32827298468,0.0,0.0,107050,3867,286087.5789942647,0.0636066198348999
1075,465847.00362514076,246602.2768560257,0.0,0.0,107150,3910,289060.8574637544,0.06356912851333618
1076,470692.33377987833,246810.3456182577,0.0,0.0,107250,3948,292084.5427123629,0.06353162229061127
1077,475539.5527317589,247022.52484563572,0.0,0.0,107350,3986,295240.20685301645,0.06349412351846695
