Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
27,4856.085215503641,70303.00057317765,0.0,0.0,2799,41,6275.863933166676,1.0,71.27746357123982
28,4876.408761481871,72730.55577878222,0.0,0.0,2899,52,6387.914727286914,1.0,55.59444501257027
29,4854.162698700326,75158.07939396983,0.0,0.0,2999,44,6223.561037654319,1.0,70.20725040420471
30,4855.374844402249,77585.61357735188,0.0,0.0,3099,40,6105.357560444143,1.0,74.86884692898093
31,4856.711469278875,80013.19910768751,0.0,0.0,3199,45,6331.032023281481,1.0,67.9954604015608
32,4847.742412192572,82440.55952746318,0.0,0.0,3299,40,6104.569889950889,1.0,77.88926873298806
33,4877.323093255953,84868.58471940663,0.0,0.0,3399,48,6383.01907521415,1.0,59.27031420218585
34,4838.297283330641,87296.10267990561,0.0,0.0,3499,38,6599.47323085392,1.0,85.32191613787673
35,4858.977318171324,89723.73012365942,0.0,0.0,3599,41,6281.146654229804,1.0,69.9029199182572
36,4849.26963917946,92151.1958039449,0.0,0.0,3699,41,6289.740046384346,1.0,75.74381017949888
37,4832.6978074862855,94578.07639072814,0.0,0.0,3799,34,6466.6085940995,1.0,92.27201852942252
38,4857.354899974627,97005.04912434236,0.0,0.0,3899,40,6079.976707567663,1.0,73.1352128025741
39,4862.517320289422,99432.23615428308,0.0,0.0,3999,43,6223.306750558373,1.0,70.45968533696865
40,4868.127932161791,101859.75864452336,0.0,0.0,4099,43,6278.1323494871,1.0,65.05595789906714
41,4857.761568946065,104287.34581544135,0.0,0.0,4199,42,6515.49082237651,1.0,69.3967789678233
42,4860.280824564368,106715.05174177168,0.0,0.0,4299,42,6289.036861721487,1.0,69.68227947512337
43,4846.412856657407,109142.55314546554,0.0,0.0,4399,37,6590.7812605992885,1.0,79.29013181511608
44,4843.800785890402,111569.80561534836,0.0,0.0,4499,38,6014.68551638206,1.0,80.06995136889026
45,4832.300389636512,113996.57537761968,0.0,0.0,4599,34,6050.685759376721,1.0,94.34838287602864
46,4841.035802476079,116423.07910325128,0.0,0.0,4699,38,6203.234837183738,1.0,85.676880607805
47,4868.238531962095,118849.90014306412,0.0,0.0,4799,46,6604.291311691275,1.0,63.86869617778385
48,4847.86674401426,121276.60331888488,0.0,0.0,4899,38,6165.732257721856,1.0,80.3556075815263
49,4842.360490224528,123703.0855774773,0.0,0.0,4999,39,6567.567628733424,1.0,81.3625269165376
50,4864.917558630201,126129.80220943138,0.0,0.0,5099,42,6480.328899799947,0.9823600053787231,67.62168809256193
51,4856.924665690545,128556.58598372743,0.0,0.0,5199,43,6318.99371223273,0.9643599987030028,67.0963202471172
52,4829.114094315126,130982.90837209372,0.0,0.0,5299,35,6512.3370461484365,0.9463599920272828,96.3674561087857
53,4855.068166451849,133409.27563804743,0.0,0.0,5399,42,6097.46842136463,0.9283599853515624,73.02503728763189
54,4847.607768599031,135835.5496901228,0.0,0.0,5499,38,6576.7525625542985,0.9103599786758424,79.6699915528083
55,4854.08352967602,138261.8511605111,0.0,0.0,5599,42,6503.065052594713,0.8923599720001221,73.76711101597868
56,4891.318166317535,140688.8318453826,0.0,0.0,5699,49,6218.266476918512,0.8743599653244019,51.13754820909496
57,4857.936821886688,143115.88107253244,0.0,0.0,5799,41,6562.625672190269,0.8563600182533264,69.69180635117752
58,4860.792800331488,145543.04376317436,0.0,0.0,5899,46,6474.391091587963,0.8383600115776062,66.14932202694193
59,4826.439266437024,147969.7416852355,0.0,0.0,5999,34,6420.267768979427,0.820360004901886,97.88055303814626
60,4849.232693403319,150396.37135892414,0.0,0.0,6099,41,6340.2214841693885,0.8023599982261658,75.41003045386765
61,4845.99790756969,152822.8839126159,0.0,0.0,6199,38,6133.980772036456,0.7843599915504456,82.69373916047027
62,4861.242387035047,155249.526899318,0.0,0.0,6299,42,6438.958127759172,0.7663599848747253,68.28377616074674
63,4855.8318981232005,157676.20966609387,0.0,0.0,6399,40,6576.998666731721,0.7483600378036499,73.46506305113508
64,4869.428629051137,160103.13955741588,0.0,0.0,6499,45,6633.129907381675,0.7303600311279297,62.1613141262768
65,4850.819922441675,162530.02339024996,0.0,0.0,6599,38,6438.5810004525965,0.7123600244522095,77.87585403037558
66,4849.704832299205,164956.84658378005,0.0,0.0,6699,42,6348.216011255457,0.6943600177764893,75.75951476328261
67,4842.458670374064,167383.50525206473,0.0,0.0,6799,35,6558.275834777716,0.676360011100769,88.924446003297
68,4858.667516128218,169810.24145918357,0.0,0.0,6899,45,6487.723442487357,0.6583600044250488,65.86958795834927
69,4866.064757339249,172237.1575569182,0.0,0.0,6999,40,6116.214932315325,0.6403599977493286,67.07895085301206
70,4857.770164778514,174664.12911900925,0.0,0.0,7099,44,6025.417008862863,0.6223599910736084,68.51677837747147
71,4862.651332423091,177091.221628437,0.0,0.0,7199,44,6252.336379509745,0.6043599843978882,66.82863859183072
72,4832.870686772338,179518.02216071295,0.0,0.0,7299,35,6007.76741599364,0.586359977722168,90.71658484255894
73,4828.104183581017,181944.4781405433,0.0,0.0,7399,31,6369.599746896428,0.5683599710464478,105.08190205830408
74,4847.538890989323,184370.86247945807,0.0,0.0,7499,42,6307.549076868848,0.5503599643707275,75.66287701299423
75,4849.114705719694,186797.19873979245,0.0,0.0,7599,39,6114.830659752775,0.5323599576950073,76.56780909528607
76,4852.143305272388,189223.5281271996,0.0,0.0,7699,38,6378.603866961388,0.5143599510192871,77.01475203801544
77,4871.22367508593,191650.09552614865,0.0,0.0,7799,45,6284.690919832812,0.4963600039482116,59.674437532202056
78,4859.433484424546,194076.7426553069,0.0,0.0,7899,43,6433.607011171433,0.4783599972724914,68.70643401560496
79,4850.302114727499,196503.3523826704,0.0,0.0,7999,39,6651.00879761009,0.4603599905967712,74.59235502333821
80,4844.690058257256,198929.8568088428,0.0,0.0,8099,40,6364.506240816803,0.442359983921051,79.81459508242042
81,4835.410136129591,201356.1466165248,0.0,0.0,8199,38,6384.9364968086165,0.4243599772453308,87.65912541197108
82,4851.623818406486,203782.4249085808,0.0,0.0,8299,326938,6649.382183874324,0.4063599705696106,0.0087540854401748
83,4858.63368554326,206208.77554708245,0.0,0.0,8399,3431,6620.858878879504,0.3883599638938904,0.8293209541474421
84,4864.727441782714,208635.2676698756,0.0,0.0,8499,45,6673.410096176824,0.3703600168228149,63.8495792620285
85,4852.173472145281,211061.75036507056,0.0,0.0,8599,41,6097.501229798812,0.3523600101470947,72.91965924753956
86,4870.728595915192,213488.43723504173,0.0,0.0,8699,48,6065.13506697236,0.3343600034713745,59.93179237751125
87,4852.8003849663655,215915.1175896154,0.0,0.0,8799,41,6483.710968897867,0.3163599967956543,71.4997707012453
88,4854.925917864195,218341.8155308039,0.0,0.0,8899,42,6429.7345322461615,0.2983599901199341,74.14641605859063
89,4857.24523305567,220768.55624255547,0.0,0.0,8999,41,6339.079144489798,0.2803599834442138,70.93687021966439
90,4837.583093384164,223195.12224738268,0.0,0.0,9099,38,6518.171873553692,0.2623599767684936,89.53435584330643
91,4871.389099023829,225621.88669883343,0.0,0.0,9199,44,6695.975434245035,0.2443599700927734,63.88791340135636
