Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
32,4825.05409152052,81804.20297656715,0.0,0.0,3299,49,5406.739062384062,1.0,110.34161351804208
33,4836.06137879772,84213.87899123735,0.0,0.0,3399,49,5414.154457162455,1.0,110.49294810535622
34,4814.711225709092,86623.4224115181,0.0,0.0,3499,41,5006.781836712529,1.0,122.11663016372025
35,4825.860400194273,89033.15398623308,0.0,0.0,3599,47,5337.474509935972,1.0,113.5632874454462
36,4818.7907963094185,91442.8673892421,0.0,0.0,3699,44,5181.395733577519,1.0,117.75899394494364
37,4803.941691527754,93852.1732892382,0.0,0.0,3799,36,5496.09668398925,1.0,152.6693523330347
38,4816.370534202113,96261.42172088074,0.0,0.0,3899,43,5518.06098334241,1.0,128.32699961261417
39,4820.3027313972125,98670.71529922608,0.0,0.0,3999,44,5244.886320426944,1.0,119.20196182788509
40,4835.674105370621,101080.42563241727,0.0,0.0,4099,48,5134.8512366673385,1.0,106.97606743056956
41,4819.440370425175,103490.13643475232,0.0,0.0,4199,42,5092.51154772265,1.0,121.25027494577738
42,4827.819527826068,105900.0425376259,0.0,0.0,4299,46,5103.522327580111,1.0,110.94613755608935
43,4807.450395139458,108309.6676902584,0.0,0.0,4399,39,5759.2816559470375,1.0,147.6738886140266
44,4810.316406572732,110719.09431180885,0.0,0.0,4499,40,5454.696527586755,1.0,136.36741318966887
45,4785.912741762324,113127.80483550408,0.0,0.0,4599,27,5291.7712126562255,1.0,195.99152639467505
46,4806.914208157716,115536.29180942844,0.0,0.0,4699,39,5592.817654756014,1.0,143.40558089117985
47,4826.093521569186,117944.96877447194,0.0,0.0,4799,47,5231.629636099853,1.0,111.31126885318837
48,4810.13558228701,120353.49842629505,0.0,0.0,4899,39,5061.4485292508325,1.0,129.78073151925213
49,4811.789966827288,122761.92269138175,0.0,0.0,4999,42,5397.6209889308375,1.0,128.51478545073422
50,4825.437269949616,125170.51536313078,43.1264533996582,40.57197189331055,5099,47,5529.911470335035,0.9823600053787231,117.65769085819224
51,4821.26785300707,127579.18654467804,41.71995162963867,45.245697021484375,5199,44,4946.896715319308,0.9643599987030028,112.42947080271156
52,4794.72871032363,129987.4310535315,42.91392517089844,54.69513702392578,5299,35,5636.187975122943,0.9463599920272828,161.03394214636978
53,4822.317294721666,132395.7834934408,42.52630233764648,44.07785034179688,5399,46,5597.411616837489,0.9283599853515624,121.6828612355976
54,4813.884158621309,134804.08464751014,44.183231353759766,40.01649475097656,5499,43,5799.67406933225,0.9103599786758424,134.87614114726162
55,4822.133515854948,137212.48457314586,44.59062576293945,42.56567001342773,5599,44,4865.670539348095,0.8923599720001221,110.58342134882037
56,4847.468688675086,139621.4225485606,37.91860961914063,49.22407531738281,5699,55,5102.304683095543,0.8743599653244019,92.7691760562826
57,4826.555124756356,142030.51016490508,45.869415283203125,42.86212921142578,5799,44,4864.692761749902,0.8563600182533264,110.5611991306796
58,4824.593539624999,144439.7065661129,43.37063980102539,44.70856094360352,5899,46,5340.821471149626,0.8383600115776062,116.10481459020926
59,4792.624321300245,146848.47349263547,43.4801025390625,45.61186981201172,5999,36,5953.869990832871,0.820360004901886,165.3852775231353
60,4806.598051196139,149257.0611437179,44.83781433105469,44.106563568115234,6099,38,5295.029541672615,0.8023599982261658,139.34288267559512
61,4814.940808184445,151665.61275457483,42.277618408203125,53.02375411987305,6199,43,5372.1500941462,0.7843599915504456,124.93372311967909
62,4828.149260529724,154074.3396993812,42.1610107421875,43.16545104980469,6299,46,5223.090146176459,0.7663599848747253,113.5454379603578
63,4820.635123674292,156483.11635096977,43.93521118164063,43.485652923583984,6399,42,4843.707990209921,0.7483600378036499,115.32638071928385
64,4833.79301986401,158892.14284435354,45.61735916137695,43.75638198852539,6499,46,4812.449405516556,0.7303600311279297,104.61846533731644
65,4822.398299957393,161301.2351758159,39.94567489624024,46.61230850219727,6599,41,4499.370611865888,0.7123600244522095,109.74074663087532
66,4813.633978851722,163710.25958662055,46.61162567138672,39.42501068115234,6699,43,5659.694924419804,0.6943600177764893,131.6208121958094
